"","month","water_year","position","days_per_month"
"1",1,2010,"LOB",31
"2",1,2010,"MC",0
"3",1,2010,"ROB",29
"4",1,2011,"LOB",31
"5",1,2011,"MC",0
"6",1,2011,"ROB",21
"7",1,2012,"LOB",31
"8",1,2012,"MC",0
"9",1,2012,"ROB",31
"10",1,2013,"LOB",31
"11",1,2013,"MC",0
"12",1,2013,"ROB",3
"13",1,2014,"LOB",31
"14",1,2014,"MC",0
"15",1,2014,"ROB",3
"16",1,2015,"LOB",31
"17",1,2015,"MC",0
"18",1,2015,"ROB",0
"19",1,2016,"LOB",31
"20",1,2016,"MC",0
"21",1,2016,"ROB",21
"22",2,2010,"LOB",28
"23",2,2010,"MC",0
"24",2,2010,"ROB",25
"25",2,2011,"LOB",29
"26",2,2011,"MC",0
"27",2,2011,"ROB",24
"28",2,2012,"LOB",28
"29",2,2012,"MC",0
"30",2,2012,"ROB",27
"31",2,2013,"LOB",28
"32",2,2013,"MC",1
"33",2,2013,"ROB",9
"34",2,2014,"LOB",28
"35",2,2014,"MC",0
"36",2,2014,"ROB",1
"37",2,2015,"LOB",29
"38",2,2015,"MC",0
"39",2,2015,"ROB",0
"40",2,2016,"LOB",28
"41",2,2016,"MC",0
"42",2,2016,"ROB",27
"43",3,2010,"LOB",31
"44",3,2010,"MC",10
"45",3,2010,"ROB",31
"46",3,2011,"LOB",29
"47",3,2011,"MC",0
"48",3,2011,"ROB",13
"49",3,2012,"LOB",31
"50",3,2012,"MC",0
"51",3,2012,"ROB",24
"52",3,2013,"LOB",31
"53",3,2013,"MC",0
"54",3,2013,"ROB",2
"55",3,2014,"LOB",31
"56",3,2014,"MC",0
"57",3,2014,"ROB",2
"58",3,2015,"LOB",31
"59",3,2015,"MC",0
"60",3,2015,"ROB",2
"61",3,2016,"LOB",31
"62",3,2016,"MC",0
"63",3,2016,"ROB",22
"64",4,2010,"LOB",30
"65",4,2010,"MC",2
"66",4,2010,"ROB",28
"67",4,2011,"LOB",27
"68",4,2011,"MC",0
"69",4,2011,"ROB",11
"70",4,2012,"LOB",30
"71",4,2012,"MC",0
"72",4,2012,"ROB",11
"73",4,2013,"LOB",30
"74",4,2013,"MC",0
"75",4,2013,"ROB",0
"76",4,2014,"LOB",30
"77",4,2014,"MC",0
"78",4,2014,"ROB",0
"79",4,2015,"LOB",30
"80",4,2015,"MC",0
"81",4,2015,"ROB",0
"82",4,2016,"LOB",30
"83",4,2016,"MC",0
"84",4,2016,"ROB",0
"85",5,2010,"LOB",31
"86",5,2010,"MC",0
"87",5,2010,"ROB",26
"88",5,2011,"LOB",31
"89",5,2011,"MC",0
"90",5,2011,"ROB",2
"91",5,2012,"LOB",31
"92",5,2012,"MC",0
"93",5,2012,"ROB",26
"94",5,2013,"LOB",30
"95",5,2013,"MC",0
"96",5,2013,"ROB",0
"97",5,2014,"LOB",28
"98",5,2014,"MC",0
"99",5,2014,"ROB",0
"100",5,2015,"LOB",31
"101",5,2015,"MC",0
"102",5,2015,"ROB",0
"103",5,2016,"LOB",31
"104",5,2016,"MC",0
"105",5,2016,"ROB",1
"106",6,2010,"LOB",30
"107",6,2010,"MC",0
"108",6,2010,"ROB",28
"109",6,2011,"LOB",30
"110",6,2011,"MC",0
"111",6,2011,"ROB",0
"112",6,2012,"LOB",30
"113",6,2012,"MC",0
"114",6,2012,"ROB",30
"115",6,2013,"LOB",30
"116",6,2013,"MC",0
"117",6,2013,"ROB",0
"118",6,2014,"LOB",30
"119",6,2014,"MC",0
"120",6,2014,"ROB",0
"121",6,2015,"LOB",30
"122",6,2015,"MC",0
"123",6,2015,"ROB",0
"124",6,2016,"LOB",30
"125",6,2016,"MC",0
"126",6,2016,"ROB",0
"127",7,2010,"LOB",31
"128",7,2010,"MC",0
"129",7,2010,"ROB",2
"130",7,2011,"LOB",31
"131",7,2011,"MC",0
"132",7,2011,"ROB",0
"133",7,2012,"LOB",31
"134",7,2012,"MC",0
"135",7,2012,"ROB",20
"136",7,2013,"LOB",31
"137",7,2013,"MC",0
"138",7,2013,"ROB",0
"139",7,2014,"LOB",31
"140",7,2014,"MC",0
"141",7,2014,"ROB",0
"142",7,2015,"LOB",31
"143",7,2015,"MC",0
"144",7,2015,"ROB",0
"145",7,2016,"LOB",24
"146",7,2016,"MC",0
"147",7,2016,"ROB",0
"148",8,2010,"LOB",31
"149",8,2010,"MC",0
"150",8,2010,"ROB",0
"151",8,2011,"LOB",31
"152",8,2011,"MC",0
"153",8,2011,"ROB",0
"154",8,2012,"LOB",31
"155",8,2012,"MC",0
"156",8,2012,"ROB",0
"157",8,2013,"LOB",31
"158",8,2013,"MC",0
"159",8,2013,"ROB",1
"160",8,2014,"LOB",31
"161",8,2014,"MC",0
"162",8,2014,"ROB",0
"163",8,2015,"LOB",31
"164",8,2015,"MC",0
"165",8,2015,"ROB",0
"166",8,2016,"LOB",29
"167",8,2016,"MC",0
"168",8,2016,"ROB",0
"169",9,2010,"LOB",30
"170",9,2010,"MC",0
"171",9,2010,"ROB",7
"172",9,2011,"LOB",30
"173",9,2011,"MC",0
"174",9,2011,"ROB",0
"175",9,2012,"LOB",30
"176",9,2012,"MC",0
"177",9,2012,"ROB",1
"178",9,2013,"LOB",30
"179",9,2013,"MC",0
"180",9,2013,"ROB",0
"181",9,2014,"LOB",30
"182",9,2014,"MC",0
"183",9,2014,"ROB",0
"184",9,2015,"LOB",30
"185",9,2015,"MC",0
"186",9,2015,"ROB",0
"187",9,2016,"LOB",29
"188",9,2016,"MC",0
"189",9,2016,"ROB",0
"190",10,2010,"LOB",30
"191",10,2010,"MC",0
"192",10,2010,"ROB",25
"193",10,2011,"LOB",29
"194",10,2011,"MC",0
"195",10,2011,"ROB",23
"196",10,2012,"LOB",31
"197",10,2012,"MC",0
"198",10,2012,"ROB",0
"199",10,2013,"LOB",31
"200",10,2013,"MC",0
"201",10,2013,"ROB",1
"202",10,2014,"LOB",25
"203",10,2014,"MC",0
"204",10,2014,"ROB",0
"205",10,2015,"LOB",31
"206",10,2015,"MC",0
"207",10,2015,"ROB",16
"208",10,2016,"LOB",31
"209",10,2016,"MC",0
"210",10,2016,"ROB",0
"211",11,2010,"LOB",30
"212",11,2010,"MC",0
"213",11,2010,"ROB",26
"214",11,2011,"LOB",30
"215",11,2011,"MC",0
"216",11,2011,"ROB",28
"217",11,2012,"LOB",30
"218",11,2012,"MC",0
"219",11,2012,"ROB",15
"220",11,2013,"LOB",30
"221",11,2013,"MC",0
"222",11,2013,"ROB",2
"223",11,2014,"LOB",30
"224",11,2014,"MC",0
"225",11,2014,"ROB",2
"226",11,2015,"LOB",29
"227",11,2015,"MC",0
"228",11,2015,"ROB",0
"229",11,2016,"LOB",30
"230",11,2016,"MC",0
"231",11,2016,"ROB",0
"232",12,2010,"LOB",31
"233",12,2010,"MC",8
"234",12,2010,"ROB",29
"235",12,2011,"LOB",31
"236",12,2011,"MC",0
"237",12,2011,"ROB",23
"238",12,2012,"LOB",31
"239",12,2012,"MC",0
"240",12,2012,"ROB",31
"241",12,2013,"LOB",31
"242",12,2013,"MC",0
"243",12,2013,"ROB",1
"244",12,2014,"LOB",31
"245",12,2014,"MC",0
"246",12,2014,"ROB",8
"247",12,2015,"LOB",24
"248",12,2015,"MC",0
"249",12,2015,"ROB",0
"250",12,2016,"LOB",31
"251",12,2016,"MC",0
"252",12,2016,"ROB",4
