"","month","water_year","position","days_per_month"
"1",1,2010,"MC",19
"2",1,2011,"MC",27
"3",1,2012,"MC",26
"4",1,2013,"MC",30
"5",1,2014,"MC",31
"6",1,2015,"MC",26
"7",1,2016,"MC",17
"8",2,2010,"MC",22
"9",2,2011,"MC",26
"10",2,2012,"MC",25
"11",2,2013,"MC",20
"12",2,2014,"MC",25
"13",2,2015,"MC",27
"14",2,2016,"MC",17
"15",3,2010,"MC",23
"16",3,2011,"MC",15
"17",3,2012,"MC",29
"18",3,2013,"MC",28
"19",3,2014,"MC",28
"20",3,2015,"MC",28
"21",3,2016,"MC",29
"22",4,2010,"MC",30
"23",4,2011,"MC",0
"24",4,2012,"MC",29
"25",4,2013,"MC",25
"26",4,2014,"MC",29
"27",4,2015,"MC",30
"28",4,2016,"MC",30
"29",5,2010,"MC",29
"30",5,2011,"MC",23
"31",5,2012,"MC",21
"32",5,2013,"MC",31
"33",5,2014,"MC",31
"34",5,2015,"MC",31
"35",5,2016,"MC",30
"36",6,2010,"MC",30
"37",6,2011,"MC",30
"38",6,2012,"MC",30
"39",6,2013,"MC",30
"40",6,2014,"MC",29
"41",6,2015,"MC",30
"42",6,2016,"MC",30
"43",7,2010,"MC",31
"44",7,2011,"MC",31
"45",7,2012,"MC",31
"46",7,2013,"MC",31
"47",7,2014,"MC",31
"48",7,2015,"MC",31
"49",7,2016,"MC",31
"50",8,2010,"MC",31
"51",8,2011,"MC",31
"52",8,2012,"MC",31
"53",8,2013,"MC",31
"54",8,2014,"MC",31
"55",8,2015,"MC",31
"56",8,2016,"MC",30
"57",9,2010,"MC",30
"58",9,2011,"MC",26
"59",9,2012,"MC",30
"60",9,2013,"MC",29
"61",9,2014,"MC",28
"62",9,2015,"MC",30
"63",9,2016,"MC",30
"64",10,2010,"MC",17
"65",10,2011,"MC",3
"66",10,2012,"MC",21
"67",10,2013,"MC",31
"68",10,2014,"MC",30
"69",10,2015,"MC",30
"70",10,2016,"MC",30
"71",11,2010,"MC",8
"72",11,2011,"MC",19
"73",11,2012,"MC",25
"74",11,2013,"MC",26
"75",11,2014,"MC",24
"76",11,2015,"MC",30
"77",11,2016,"MC",26
"78",12,2010,"MC",11
"79",12,2011,"MC",27
"80",12,2012,"MC",16
"81",12,2013,"MC",26
"82",12,2014,"MC",23
"83",12,2015,"MC",30
"84",12,2016,"MC",22
