"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= min_limit & Q <= newx1a","vel_m_MC","Steelhead","Migration_Prolonged","Velocity","F37BHigh"
"2",NA,"vel_m_MC","Steelhead","Migration_Prolonged","Velocity","F37BHigh"
"3",NA,"vel_m_MC","Steelhead","Migration_Prolonged","Velocity","F37BHigh"
