"","Depth","Abundance","Dataset"
"1",20,1,"Saiki"
"2",21,1,"Saiki"
"3",25,1,"Saiki"
"4",35,1,"Saiki"
"5",36,1,"Saiki"
"6",39,1,"Saiki"
