"","bottom.velocity","M_Blvd","Highway_60","Riverside_Dr","all_sites","M_Blvd_ab","Highway_60_ab","Riverside_Dr_ab","all_sites_ab"
"1","0.00 – 0.50 ",25,0,40.5,28.2,7,0,15,24
"2","0.51 – 1.00 ",21.4,61.5,54.1,43.6,6,12,20,37
"3","1.01 – 1.50 ",50,23.1,5.4,24.4,14,5,2,21
"4","1.51 – 2.00 ",0,15.4,0,2.6,0,3,0,2
"5","2.01 – 2.50 ",3.6,0,0,1.3,1,0,0,1
"6","2.51 – 3.00 ",0,0,0,0,0,0,0,0
"7","abundance",28,20,37,85,8,4,14,72
