"","Node","Suitable","Unsuitable","Metric","Species","Life_Stage"
"1","F300",0,11,"MaxTemp","Steelhead","Smolts"
"2","F300",0,11,"MeanMaxTemp","Steelhead","Smolts"
"3","F300",0,11,"MinTemp","Steelhead","Smolts"
"4","F300",0,11,"MeanTemp","Steelhead","Smolts"
"5","F319",0,6,"MaxTemp","Steelhead","Smolts"
"6","F319",0,6,"MeanMaxTemp","Steelhead","Smolts"
"7","F319",0,6,"MinTemp","Steelhead","Smolts"
"8","F319",0,6,"MeanTemp","Steelhead","Smolts"
"9","F34D",0,6,"MaxTemp","Steelhead","Smolts"
"10","F34D",0,6,"MeanMaxTemp","Steelhead","Smolts"
"11","F34D",0,6,"MinTemp","Steelhead","Smolts"
"12","F34D",0,6,"MeanTemp","Steelhead","Smolts"
"13","F37B.Hard",0,15,"MaxTemp","Steelhead","Smolts"
"14","F37B.Hard",0,15,"MeanMaxTemp","Steelhead","Smolts"
"15","F37B.Hard",0,15,"MinTemp","Steelhead","Smolts"
"16","F37B.Hard",0,15,"MeanTemp","Steelhead","Smolts"
"17","F37B.Soft",0,15,"MaxTemp","Steelhead","Smolts"
"18","F37B.Soft",0,15,"MeanMaxTemp","Steelhead","Smolts"
"19","F37B.Soft",0,15,"MinTemp","Steelhead","Smolts"
"20","F37B.Soft",0,15,"MeanTemp","Steelhead","Smolts"
"21","F45B",0,19,"MaxTemp","Steelhead","Smolts"
"22","F45B",0,19,"MeanMaxTemp","Steelhead","Smolts"
"23","F45B",1,18,"MinTemp","Steelhead","Smolts"
"24","F45B",0,19,"MeanTemp","Steelhead","Smolts"
"25","F57C",0,11,"MaxTemp","Steelhead","Smolts"
"26","F57C",0,11,"MeanMaxTemp","Steelhead","Smolts"
"27","F57C",0,11,"MinTemp","Steelhead","Smolts"
"28","F57C",0,11,"MeanTemp","Steelhead","Smolts"
"29","GLEN",0,11,"MaxTemp","Steelhead","Smolts"
"30","GLEN",0,11,"MeanMaxTemp","Steelhead","Smolts"
"31","GLEN",0,11,"MinTemp","Steelhead","Smolts"
"32","GLEN",0,11,"MeanTemp","Steelhead","Smolts"
"33","LA_20_2",0,11,"MaxTemp","Steelhead","Smolts"
"34","LA_20_2",0,11,"MeanMaxTemp","Steelhead","Smolts"
"35","LA_20_2",0,11,"MinTemp","Steelhead","Smolts"
"36","LA_20_2",0,11,"MeanTemp","Steelhead","Smolts"
"37","LA11",0,11,"MaxTemp","Steelhead","Smolts"
"38","LA11",0,11,"MeanMaxTemp","Steelhead","Smolts"
"39","LA11",0,11,"MinTemp","Steelhead","Smolts"
"40","LA11",0,11,"MeanTemp","Steelhead","Smolts"
"41","LA13",0,11,"MaxTemp","Steelhead","Smolts"
"42","LA13",0,11,"MeanMaxTemp","Steelhead","Smolts"
"43","LA13",0,11,"MinTemp","Steelhead","Smolts"
"44","LA13",0,11,"MeanTemp","Steelhead","Smolts"
"45","LA14",0,11,"MaxTemp","Steelhead","Smolts"
"46","LA14",0,11,"MeanMaxTemp","Steelhead","Smolts"
"47","LA14",0,11,"MinTemp","Steelhead","Smolts"
"48","LA14",0,11,"MeanTemp","Steelhead","Smolts"
"49","LA2",0,6,"MaxTemp","Steelhead","Smolts"
"50","LA2",0,6,"MeanMaxTemp","Steelhead","Smolts"
"51","LA2",0,6,"MinTemp","Steelhead","Smolts"
"52","LA2",0,6,"MeanTemp","Steelhead","Smolts"
"53","LA20",0,11,"MaxTemp","Steelhead","Smolts"
"54","LA20",0,11,"MeanMaxTemp","Steelhead","Smolts"
"55","LA20",0,11,"MinTemp","Steelhead","Smolts"
"56","LA20",0,11,"MeanTemp","Steelhead","Smolts"
"57","LA3",0,6,"MaxTemp","Steelhead","Smolts"
"58","LA3",0,6,"MeanMaxTemp","Steelhead","Smolts"
"59","LA3",0,6,"MinTemp","Steelhead","Smolts"
"60","LA3",0,6,"MeanTemp","Steelhead","Smolts"
"61","LA8",0,6,"MaxTemp","Steelhead","Smolts"
"62","LA8",0,6,"MeanMaxTemp","Steelhead","Smolts"
"63","LA8",0,6,"MinTemp","Steelhead","Smolts"
"64","LA8",0,6,"MeanTemp","Steelhead","Smolts"
