"","Depth","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab"
"1","0-5 ",0,0,0,0,0
"2","06-10",0,0,0,0,0
"3","11-15",0,0,0,0,0
"4","16-20 ",0,0,0,0,0
"5","21-25 ",0,0,0,0,0
"6","26-30 ",0,0,0,0,0
"7","31-35 ",0,10.6,3,0,5
"8","36-40 ",13.8,4.3,4,4,2
"9","41-45 ",0,8.5,2,0,4
"10","46-50 ",58.6,0,1,17,0
"11","51-55 ",6.1,2.1,11,2,1
"12","56-60 ",0,14.9,9,0,7
"13","61-65 ",0,6.4,2,0,3
"14","66-70 ",0,0,0,0,0
"15","71+",50,53.2,15,14,25
"16","abundance",29,47,36,8,22
