"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",26.2292575836182,26.2292575836182,26.2292575836182,"SAS","Juvenile","Depth","F57C"
"2",41750.16796875,41750.16796875,41750.16796875,"SAS","Juvenile","Depth","F57C"
"3",NA,NA,NA,"SAS","Juvenile","Depth","F57C"
"4",NA,NA,NA,"SAS","Juvenile","Depth","F57C"
"5",204.184776885106,209.002988358612,1780.4840746652,"SAS","Juvenile","Depth","F57C"
"6",1459.03582358964,1362.08135333451,5109.26868942195,"SAS","Juvenile","Depth","F57C"
"7",NA,NA,NA,"SAS","Juvenile","Depth","F57C"
"8",NA,NA,NA,"SAS","Juvenile","Depth","F57C"
"9",350.145538847839,351.570828868728,2362.12370169721,"SAS","Juvenile","Depth","F57C"
"10",1160.32377027698,1098.5189721632,4500.32677589331,"SAS","Juvenile","Depth","F57C"
"11",NA,NA,NA,"SAS","Juvenile","Depth","F57C"
"12",NA,NA,NA,"SAS","Juvenile","Depth","F57C"
