"","LOB","MC","ROB"
"Low_Prob_1",26.2292575836182,26.2292575836182,26.2292575836182
"Low_Prob_2",41750.16796875,41750.16796875,41750.16796875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",88.9481938175162,301.863936284612,2424.92339705322
"Med_Prob_2",2506.97549259628,1971.92400592034,6891.4035151994
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",225.006395924021,510.281631056912,3208.78547994324
"High_Prob_2",402.068296246539,1592.9330204412,6076.5196604328
"High_Prob_3",643.168865708755,NA,NA
"High_Prob_4",2021.57399715538,NA,NA
