"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q <= newx1a[1] | Q >= newx1a[2] & Q <= newx1a[3]","Q <= newx2a[1] | Q >= newx2a[2] & Q <= newx2a[3]","Q < 0","vel_m_LOB","Typha","Adult","Velocity","F57C"
"2","Q >= min_limit & Q <= newx1a","Q >= min_limit & Q <= newx2a","Q < 0","vel_m_MC","Typha","Adult","Velocity","F57C"
"3","Q >= min_limit & Q <= newx1a","Q >= min_limit & Q <= newx2a","Q >= min_limit & Q <= newx3a","vel_m_ROB","Typha","Adult","Velocity","F57C"
