"","bottom.velocity","M_Blvd","Highway_60","Riverside_Dr","all_sites"
"1","0.00 – 0.50 ",66.7,38.7,0,44.8
"2","0.51 – 1.00 ",13,17.7,27.8,17.2
"3","1.01 – 1.50 ",1.9,29,50,20.9
"4","1.51 – 2.00 ",14.8,11.3,22.2,14.2
"5","2.01 – 2.50 ",3.7,3.2,0,3
"6","2.51 – 3.00 ",0,0,0,0
"7","abundance",54,65,18,137
