"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",62.577335357666,62.577335357666,62.577335357666,"SAS","Adult","Depth","LA1"
"2",53690.66015625,53690.66015625,53690.66015625,"SAS","Adult","Depth","LA1"
"3",NA,NA,NA,"SAS","Adult","Depth","LA1"
"4",NA,NA,NA,"SAS","Adult","Depth","LA1"
"5",NA,243.173578629705,NA,"SAS","Adult","Depth","LA1"
"6",NA,2134.5585670226,NA,"SAS","Adult","Depth","LA1"
"7",NA,NA,NA,"SAS","Adult","Depth","LA1"
"8",NA,NA,NA,"SAS","Adult","Depth","LA1"
"9",NA,461.353279138808,NA,"SAS","Adult","Depth","LA1"
"10",NA,1684.68313231795,NA,"SAS","Adult","Depth","LA1"
"11",NA,NA,NA,"SAS","Adult","Depth","LA1"
"12",NA,NA,NA,"SAS","Adult","Depth","LA1"
