"","Temp","abundance","Dataset"
"1","25.6",1,"SAWA"
"3","25.1",11,"SAWA"
"4","23.9",71,"SAWA"
"5","26.1",59,"SAWA"
"6","28.3",111,"SAWA"
"7","23.3",9,"SAWA"
"8","24.7",15,"SAWA"
"9","26.9",19,"SAWA"
"11","22.2",2,"SAWA"
"33","20.2",1,"SAWA"
"38","27.4",2,"SAWA"
"113","6.9",1,"Saiki"
"2","7",7,"Saiki"
"310","7.7",2,"Saiki"
"410","7.8",13,"Saiki"
"510","7.9",1,"Saiki"
"610","8",2,"Saiki"
"710","8.1",1,"Saiki"
"810","8.4",3,"Saiki"
"910","8.7",15,"Saiki"
"10","8.8",8,"Saiki"
"114","9",2,"Saiki"
"12","9.1",11,"Saiki"
"13","9.2",18,"Saiki"
"14","9.3",1,"Saiki"
"15","9.4",4,"Saiki"
"16","9.5",13,"Saiki"
"17","9.6",15,"Saiki"
"18","9.7",12,"Saiki"
"19","9.8",18,"Saiki"
"20","10.3",3,"Saiki"
"21","10.4",2,"Saiki"
"22","10.5",2,"Saiki"
"23","10.6",2,"Saiki"
"24","10.8",20,"Saiki"
"25","10.9",12,"Saiki"
"26","11",14,"Saiki"
"27","11.1",3,"Saiki"
"28","11.2",3,"Saiki"
"29","11.3",7,"Saiki"
"30","11.5",3,"Saiki"
"31","12.1",8,"Saiki"
"32","12.2",5,"Saiki"
"331","12.4",2,"Saiki"
"34","12.5",6,"Saiki"
"35","12.6",4,"Saiki"
"36","12.8",1,"Saiki"
"37","12.9",7,"Saiki"
"381","13",4,"Saiki"
"39","13.1",6,"Saiki"
"40","13.2",1,"Saiki"
"41","13.3",3,"Saiki"
"42","13.5",1,"Saiki"
"43","14.6",2,"Saiki"
"44","14.9",1,"Saiki"
"45","15.3",2,"Saiki"
"46","15.4",1,"Saiki"
"47","15.6",1,"Saiki"
"48","15.7",4,"Saiki"
"49","16.1",1,"Saiki"
"50","16.3",2,"Saiki"
"51","16.4",1,"Saiki"
"52","16.5",30,"Saiki"
"53","16.6",15,"Saiki"
"54","16.7",3,"Saiki"
"55","16.8",2,"Saiki"
"56","16.9",4,"Saiki"
"57","17",3,"Saiki"
"58","17.1",2,"Saiki"
"59","17.4",3,"Saiki"
"60","17.5",2,"Saiki"
"61","17.6",3,"Saiki"
"62","17.7",11,"Saiki"
"63","17.8",8,"Saiki"
"64","17.9",8,"Saiki"
"65","18.2",3,"Saiki"
"66","18.3",6,"Saiki"
"67","18.4",4,"Saiki"
"68","18.5",2,"Saiki"
"69","18.6",20,"Saiki"
"70","18.7",11,"Saiki"
"71","18.8",12,"Saiki"
"72","18.9",6,"Saiki"
"73","19.1",1,"Saiki"
"74","19.4",3,"Saiki"
"75","19.5",1,"Saiki"
"76","19.6",2,"Saiki"
"77","19.7",4,"Saiki"
"78","19.8",8,"Saiki"
"79","19.9",5,"Saiki"
"80","20",1,"Saiki"
"81","20.1",15,"Saiki"
"82","20.2",2,"Saiki"
"83","20.3",2,"Saiki"
"84","20.4",1,"Saiki"
"85","20.5",2,"Saiki"
"86","20.6",5,"Saiki"
"87","20.7",4,"Saiki"
"88","20.8",5,"Saiki"
"89","20.9",1,"Saiki"
"90","21.3",5,"Saiki"
"91","21.4",10,"Saiki"
"92","21.7",1,"Saiki"
"93","21.8",4,"Saiki"
"94","21.9",2,"Saiki"
"95","22",2,"Saiki"
"96","22.1",36,"Saiki"
"97","22.2",38,"Saiki"
"98","22.3",3,"Saiki"
"99","22.4",13,"Saiki"
"100","22.5",20,"Saiki"
"101","22.6",6,"Saiki"
"102","22.7",2,"Saiki"
"103","22.8",4,"Saiki"
"104","22.9",1,"Saiki"
"105","23.2",2,"Saiki"
"106","24.9",2,"Saiki"
"107","25",5,"Saiki"
"108","25.1",1,"Saiki"
"109","25.2",1,"Saiki"
"110","25.5",1,"Saiki"
"111","27.8",1,"Saiki"
"112","28.6",1,"Saiki"
