"","LOB","MC","ROB"
"Low_Prob_1",24.5054531097412,24.5054531097412,24.5054531097412
"Low_Prob_2",40888.7421875,40888.7421875,40888.7421875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",513.19964414518,211.597312623129,1870.14011916403
"Med_Prob_2",3034.34035989074,1434.3131657353,5459.83755866423
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",843.495173129215,358.942516095612,2495.94015595801
"High_Prob_2",2478.45214843426,1150.01668418046,4802.48507157371
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
