"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","depth_cm_LOB","Willow","Germination","Depth","11101250"
"2","Q >= newx1a","depth_cm_MC","Willow","Germination","Depth","11101250"
"3","Q >= newx1a","depth_cm_ROB","Willow","Germination","Depth","11101250"
