"","Section","Segment","Reach","Date","Latitude","Longitude","Species","Number","Depth_cm","coord_code"
"1","Rialto Drain","1","1","7/22/15","34.04794","-117.35625","Santa Ana Sucker","1",38,"34.04794_-117.35625"
"25","Rialto Drain","1","2","7/22/15","34.04683","-117.35528","Santa Ana Sucker","3",36,"34.04683_-117.35528"
"26","Rialto Drain","1","2","7/22/15","34.04683","-117.35528","Santa Ana Sucker","1",26,"34.04683_-117.35528"
"29","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",37,"34.04683_-117.35528"
"30","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",44,"34.04683_-117.35528"
"31","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",26,"34.04683_-117.35528"
"32","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",24,"34.04683_-117.35528"
"33","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",24,"34.04683_-117.35528"
"34","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",20,"34.04683_-117.35528"
"35","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",30,"34.04683_-117.35528"
"36","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",32,"34.04683_-117.35528"
"37","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",26,"34.04683_-117.35528"
"38","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",26,"34.04683_-117.35528"
"39","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",26,"34.04683_-117.35528"
"40","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",26,"34.04683_-117.35528"
"41","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",22,"34.04683_-117.35528"
"42","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",40,"34.04683_-117.35528"
"43","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","5",40,"34.04683_-117.35528"
"44","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",24,"34.04683_-117.35528"
"68","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","2",37,"34.04203_-117.354"
"69","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","1",30,"34.04203_-117.354"
"70","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","1",28,"34.04203_-117.354"
"71","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","1",26,"34.04203_-117.354"
"93","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",56,"34.03842_-117.35544"
"94","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","8",44,"34.03842_-117.35544"
"95","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",48,"34.03842_-117.35544"
"96","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","3",48,"34.03842_-117.35544"
"97","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",46,"34.03842_-117.35544"
"98","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","3",46,"34.03842_-117.35544"
"99","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",36,"34.03842_-117.35544"
