"","Depth","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab"
"1","0-5 ",0,0,NA,0,NA
"2","6-10",0,0,NA,0,NA
"3","11-15",11.8,6.2,NA,4,NA
"4","16-20 ",0,3.7,NA,0,NA
"5","21-25 ",0,9.9,NA,0,NA
"6","26-30 ",2.9,9.9,NA,1,NA
"7","31-35 ",14.7,7.4,NA,5,NA
"8","36-40 ",23.5,7.4,NA,8,NA
"9","41-45 ",0,4.9,NA,0,NA
"10","46-50 ",0,3.7,NA,0,NA
"11","51-55 ",38.2,0,NA,13,NA
"12","56-60 ",8.8,0,NA,3,NA
"13","61-65 ",0,46.9,NA,0,NA
"14","66-70 ",0,0,NA,0,NA
"15","abundance",34,81,NA,12,NA
