"","LOB","MC","ROB"
"Low_Prob_1",8467.52904728124,0.456932945413426,13021.9276669315
"Low_Prob_2",15048.7410811067,97.7792686030703,27310.5307057556
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",9157.43981317303,2.6226252213622,14290.7479548513
"Med_Prob_2",13577.4777853902,66.2984793762502,23706.1269107124
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",9803.82972735627,6.4986989752265,15497.9706039111
"High_Prob_2",12597.1033148612,45.5229811686586,21079.1390736302
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
