"","Temp"
"1",18.33
"2",19.82
"3",19.93
"4",19.93
"5",19.93
"6",19.96
"7",21.45
"8",22.27
"9",22.2
"10",22.2
"11",20.6
"12",20.6
"13",17.63
"14",17.93
"15",17.93
"16",15.34
"17",15.68
"18",15.68
"19",15.67
"20",15.67
"21",16.09
"22",17.77
"23",17.76
"24",17.67
"25",17.68
"26",17.68
"27",17.73
"28",17.73
"29",17.73
"30",17.72
"31",17.72
"32",17.75
"33",17.75
"34",17.75
"35",17.74
"36",17.78
"37",17.78
"38",19.4
"39",19.4
"40",17.42
"41",16.8
"42",17.84
"43",17.9
"44",15.55
"45",15.39
"46",22.14
"47",22.08
"48",22.08
"49",19.48
"50",22.14
"51",22.14
"52",22.14
"53",22.14
"54",22.17
"55",22.17
"56",22.17
"57",22.14
"58",25.02
"59",25.02
"60",25.02
"61",25.02
"62",24.92
"63",24.85
"64",25.07
"65",22.48
"66",17.15
"67",18.19
"68",18.19
"69",18.19
"70",18.32
"71",18.28
"72",20.06
"73",20.06
"74",20.06
"75",20.06
"76",19.7
"77",18.83
"78",18.63
"79",18.36
"80",16.95
"81",16.95
"82",17.01
"83",17.02
"84",13.35
"85",13.35
"86",13.46
"87",14.6
"88",14.62
"89",16.44
"90",16.32
"91",16.34
"92",18.46
"93",18.42
"94",18.36
"95",18.33
"96",12.48
"97",20.16
"98",19.05
"99",15.28
"100",28.61
"101",22.61
"102",9.36
"103",8.06
"104",8.74
"105",8.74
"106",8.81
"107",8.82
"108",9.54
"109",9.6
"110",9.6
"111",9.6
"112",9.6
"113",9.59
"114",9.58
"115",9.46
"116",9.46
"117",9.46
"118",9.46
"119",9.5
"120",9.5
"121",9.46
"122",9.46
"123",9.46
"124",9.46
"125",6.93
"126",7
"127",22.47
"128",21.82
"129",11.35
"130",9.44
"131",10.83
"132",13.01
"133",12.51
"134",13.09
"135",13.09
"136",12.87
"137",12.87
"138",12.87
"139",12.17
"140",12.09
"141",12.09
"142",12.1
"143",12.09
"144",12.05
"145",12.05
"146",8.66
"147",8.66
"148",8.71
"149",9.26
"150",9.78
"151",9.78
"152",9.78
"153",9.78
"154",9.78
"155",9.78
"156",9.78
"157",9.78
"158",9.72
"159",9.72
"160",9.7
"161",9.7
"162",11.06
"163",11.47
"164",11.04
"165",10.99
"166",10.99
"167",10.92
"168",10.92
"169",11
"170",10.95
"171",10.8
"172",10.8
"173",10.8
"174",10.8
"175",10.8
"176",10.81
"177",10.79
"178",7.69
"179",7.69
"180",7.75
"181",7.83
"182",7.78
"183",7.88
"184",16.52
"185",16.52
"186",16.52
"187",16.52
"188",16.56
"189",16.56
"190",16.56
"191",16.56
"192",18.54
"193",21.37
"194",22.24
"195",22.18
"196",22.18
"197",21.77
"198",22.51
"199",22.17
"200",22.17
"201",22.49
"202",21.97
"203",22.13
"204",22.12
"205",16.53
"206",16.57
"207",16.48
"208",16.51
"209",16.51
"210",16.51
"211",16.51
"212",16.51
"213",16.52
"214",16.52
"215",16.52
"216",16.52
"217",16.56
"218",16.56
"219",16.56
"220",11.31
"221",11.31
"222",12.54
"223",12.54
"224",13.16
"225",12.62
"226",12.63
"227",18.77
"228",18.78
"229",22.61
"230",22.57
"231",22.57
"232",22.54
"233",22.54
"234",18.68
"235",19.93
"236",20.53
"237",17.89
"238",17.69
"239",17.69
"240",17.91
"241",17.9
"242",22.47
"243",22.14
"244",22.7
"245",22.78
"246",19.36
"247",20.11
"248",25.03
"249",25.25
"250",25.53
"251",27.8
"252",21.7
"253",22.23
"254",22.48
"255",16.74
"256",17.1
"257",18.28
"258",20.12
"259",20.12
"260",20.76
"261",20.48
"262",20.58
"263",18.83
"264",18.26
"265",16.95
"266",13.35
"267",20.17
"268",20.42
"269",18.94
"270",18.92
"271",22.25
"272",22.42
"273",22.61
"274",22.45
"275",22.45
"276",8.01
"277",8.36
"278",8.96
"279",8.74
"280",8.74
"281",8.74
"282",8.74
"283",8.74
"284",8.74
"285",8.74
"286",8.81
"287",8.82
"288",9.57
"289",9.56
"290",9.56
"291",9.56
"292",9.56
"293",9.55
"294",9.54
"295",9.54
"296",9.59
"297",9.62
"298",6.98
"299",6.98
"300",7.04
"301",7
"302",7.02
"303",18.57
"304",18.57
"305",18.57
"306",18.57
"307",18.57
"308",18.58
"309",18.63
"310",18.68
"311",18.68
"312",18.68
"313",18.68
"314",18.68
"315",19.62
"316",19.62
"317",19.68
"318",19.66
"319",20.26
"320",22.44
"321",22.42
"322",21.95
"323",21.87
"324",21.84
"325",21.78
"326",20.78
"327",20.63
"328",19.82
"329",19.8
"330",18.79
"331",18.79
"332",19.78
"333",19.78
"334",19.78
"335",19.78
"336",17.38
"337",17.44
"338",17.51
"339",11.51
"340",17.55
"341",17.57
"342",18.84
"343",22.19
"344",16.85
"345",13.14
"346",9.13
"347",9.13
"348",9.13
"349",9.13
"350",9.13
"351",9.13
"352",9.13
"353",9.19
"354",9.04
"355",9.18
"356",9.18
"357",9.18
"358",9.18
"359",9.18
"360",9.18
"361",9.18
"362",9.78
"363",10.31
"364",9.78
"365",9.78
"366",9.78
"367",9.78
"368",9.78
"369",9.78
"370",9.78
"371",9.72
"372",10.34
"373",10.57
"374",9.7
"375",9.7
"376",9.7
"377",9.7
"378",9.7
"379",11.06
"380",11.47
"381",10.99
"382",10.99
"383",10.99
"384",10.92
"385",10.92
"386",10.94
"387",10.99
"388",10.99
"389",12.75
"390",10.95
"391",10.96
"392",10.86
"393",10.8
"394",10.8
"395",10.8
"396",10.8
"397",10.81
"398",10.81
"399",7.75
"400",7.81
"401",7.83
"402",7.84
"403",7.84
"404",7.84
"405",16.52
"406",16.52
"407",16.52
"408",16.56
"409",16.56
"410",16.56
"411",18.6
"412",18.6
"413",18.6
"414",18.6
"415",18.6
"416",18.6
"417",18.6
"418",18.6
"419",18.61
"420",18.61
"421",18.89
"422",21.32
"423",21.33
"424",21.33
"425",21.34
"426",21.36
"427",21.37
"428",22.15
"429",22.11
"430",22.18
"431",22.18
"432",22.18
"433",22.18
"434",22.18
"435",22.18
"436",22.18
"437",22.18
"438",22.51
"439",22.51
"440",22.17
"441",22.17
"442",22.17
"443",22.17
"444",22.17
"445",22.17
"446",22.17
"447",22.17
"448",22.17
"449",22.17
"450",22.17
"451",22.17
"452",22.49
"453",22.49
"454",22.51
"455",21.97
"456",22.55
"457",22.14
"458",22.13
"459",22.13
"460",22.13
"461",22.12
"462",22.1
"463",22.18
"464",16.51
"465",16.51
"466",16.51
"467",16.51
"468",16.51
"469",16.51
"470",16.51
"471",16.51
"472",16.51
"473",16.52
"474",16.52
"475",16.52
"476",16.56
"477",16.56
"478",16.56
"479",11.35
"480",11.33
"481",12.09
"482",13.14
"483",17.89
"484",17.89
"485",14.87
"486",17.04
"487",13.07
"488",9.15
"489",9.85
"490",7.97
"491",8.36
"492",8.37
"493",8.74
"494",8.74
"495",8.84
"496",8.84
"497",9.56
"498",9.44
"499",9.42
"500",6.96
"501",18.68
"502",18.68
"503",18.68
"504",18.68
"505",19.66
"506",20.26
"507",22.42
"508",22.42
"509",22.43
"510",22.47
"511",22.47
"512",22.4
"513",22.4
"514",20.78
"515",20.74
"516",20.73
"517",20.69
"518",20.67
"519",19.85
"520",19.82
"521",17.48
"522",10.34
"523",10.37
"524",10.37
"525",10.85
"526",10.86
"527",11.23
"528",11.2
"529",11.28
"530",11.16
"531",16.8
"532",16.73
"533",16.67
"534",18.94
"535",22.27
"536",22.31
"537",22.35
"538",22.41
"539",22.22
"540",22.19
"541",22.09
"542",22.1
"543",20.9
"544",20.8
"545",20.77
"546",10.48
"547",10.48
"548",10.55
"549",12.44
"550",12.44
"551",12.94
"552",12.94
"553",12.94
"554",12.94
"555",8.66
"556",8.77
"557",8.77
"558",9.13
"559",9.13
"560",9.13
"561",9.13
"562",9.18
"563",9.18
"564",9.18
"565",9.18
"566",9.18
"567",9.18
"568",9.18
"569",9.18
"570",9.18
"571",9.78
"572",9.7
"573",9.7
"574",11.06
"575",10.99
"576",10.96
"577",10.94
"578",10.94
"579",10.96
"580",10.96
"581",10.86
"582",10.82
"583",10.8
"584",10.8
"585",10.8
"586",10.8
"587",7.84
"588",7.84
"589",7.84
"590",16.56
"591",18.61
"592",18.61
"593",18.89
"594",21.33
"595",21.37
"596",21.37
"597",21.37
"598",21.37
"599",21.36
"600",21.37
"601",22.15
"602",22.15
"603",22.23
"604",22.18
"605",22.51
"606",22.51
"607",22.51
"608",22.14
"609",22.13
"610",22.13
"611",22.13
"612",22.13
"613",22.13
"614",22.13
"615",22.13
"616",22.13
"617",22.13
"618",22.13
