"","substrate..","M_Blvd","Highway_60","Riverside_Dr","all_sites","M_Blvd_ab","Highway_60_ab","Riverside_Dr_ab","all_sites_ab"
"1","silt",0,0,0,0,0,0,0,0
"2","silt_sand",38.9,0,0,15.3,21,0,0,21
"3","sand",38.9,10.8,0,20.4,21,7,0,28
"4","sand_gravel",5.6,78.5,83.3,50.4,3,51,15,69
"5","gravel",0,0,16.7,2.2,0,0,3,3
"6","sand_cobble",0,0,0,0,0,0,0,0
"7","gravel_cobble",0,10.8,0,5.1,0,7,0,7
"8","cobble",0,0,0,0,0,0,0,0
"9","boulder",0,0,0,6.6,0,0,0,9
"10","abundance",54,65,18,137,29,42,3,188
