"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q <= newx1a","vel_m_LOB","Steelhead","Migration","Velocity","LA11"
"2","Q <= newx1a","vel_m_MC","Steelhead","Migration","Velocity","LA11"
"3","Q <= newx1a","vel_m_ROB","Steelhead","Migration","Velocity","LA11"
