"","year","position","Time_Period","value"
"1",2010,"MC","Annual",100
"2",2011,"MC","Annual",100
"3",2012,"MC","Annual",100
"4",2013,"MC","Annual",100
"5",2014,"MC","Annual",100
"6",2015,"MC","Annual",100
"7",2016,"MC","Annual",100
"8",2017,"MC","Annual",100
"9",2010,"LOB","Annual",95.2877208880834
"10",2011,"LOB","Annual",98.8584474885845
"11",2012,"LOB","Annual",99.2941712204007
"12",2013,"LOB","Annual",99.7602739726027
"13",2014,"LOB","Annual",99.3264840182648
"14",2015,"LOB","Annual",99.6803652968037
"15",2016,"LOB","Annual",99.1803278688525
"16",2017,"LOB","Annual",98.7179487179487
"17",2010,"ROB","Annual",100
"18",2011,"ROB","Annual",100
"19",2012,"ROB","Annual",100
"20",2013,"ROB","Annual",100
"21",2014,"ROB","Annual",100
"22",2015,"ROB","Annual",100
"23",2016,"ROB","Annual",100
"24",2017,"ROB","Annual",100
"25",2010,"MC","other_season",100
"26",2011,"MC","other_season",100
"27",2012,"MC","other_season",100
"28",2013,"MC","other_season",100
"29",2014,"MC","other_season",100
"30",2015,"MC","other_season",100
"31",2016,"MC","other_season",100
"32",2017,"MC","other_season",100
"33",2010,"LOB","other_season",98.9747095010253
"34",2011,"LOB","other_season",99.4281045751634
"35",2012,"LOB","other_season",99.7821350762527
"36",2013,"LOB","other_season",100
"37",2014,"LOB","other_season",99.7821350762527
"38",2015,"LOB","other_season",99.9727668845316
"39",2016,"LOB","other_season",99.7549019607843
"40",2017,"LOB","other_season",100
"41",2010,"ROB","other_season",100
"42",2011,"ROB","other_season",100
"43",2012,"ROB","other_season",100
"44",2013,"ROB","other_season",100
"45",2014,"ROB","other_season",100
"46",2015,"ROB","other_season",100
"47",2016,"ROB","other_season",100
"48",2017,"ROB","other_season",100
"49",2010,"MC","Migration_season",100
"50",2011,"MC","Migration_season",100
"51",2012,"MC","Migration_season",100
"52",2013,"MC","Migration_season",100
"53",2014,"MC","Migration_season",100
"54",2015,"MC","Migration_season",100
"55",2016,"MC","Migration_season",100
"56",2017,"MC","Migration_season",100
"57",2010,"LOB","Migration_season",88.0376344086021
"58",2011,"LOB","Migration_season",98.4473270440252
"59",2012,"LOB","Migration_season",98.943661971831
"60",2013,"LOB","Migration_season",99.5872641509434
"61",2014,"LOB","Migration_season",98.997641509434
"62",2015,"LOB","Migration_season",99.4693396226415
"63",2016,"LOB","Migration_season",98.7676056338028
"64",2017,"LOB","Migration_season",98.0662983425414
"65",2010,"ROB","Migration_season",100
"66",2011,"ROB","Migration_season",100
"67",2012,"ROB","Migration_season",100
"68",2013,"ROB","Migration_season",100
"69",2014,"ROB","Migration_season",100
"70",2015,"ROB","Migration_season",100
"71",2016,"ROB","Migration_season",100
"72",2017,"ROB","Migration_season",100
