yyyymmdd,Hr:Min:Sec,LA20,LA_20_2,F300,LA14,LA13,GLEN,LA11,F57C
20160605,0:00:00,26.27,25.06,22.3201,21.816,21.734,21.682,21.5558,21.4896
20160605,1:00:00,26.17,25.0492,22.2415,21.7362,21.6545,21.6028,21.4776,21.4119
20160605,2:00:00,25.97,25.0081,22.0299,21.5025,21.4179,21.3643,21.2354,21.1672
20160605,3:00:00,25.77,24.9726,21.843,21.3041,21.2189,21.1653,21.0367,20.9686
20160605,4:00:00,25.67,24.9525,21.7448,21.1992,21.1136,21.0598,20.9311,20.863
20160605,5:00:00,25.57,24.9417,21.6639,21.1137,21.0278,20.9739,20.8452,20.7769
20160605,6:00:00,25.37,24.9159,21.5013,20.9409,20.8547,20.8008,20.6728,20.6049
20160605,7:00:00,25.46,26.1191,25.0057,25.3963,25.4825,25.5401,25.6876,25.7948
20160605,8:00:00,25.52,26.4599,25.5285,25.105,25.0236,25.5271,26.4795,26.927
20160605,9:00:00,25.82,27.104,27.256,27.1584,27.073,26.9997,26.7489,26.567
20160605,10:00:00,25.90,27.5746,28.4001,28.5183,28.4838,28.4463,28.2929,28.1776
20160605,11:00:00,26.00,28.0925,29.4676,29.613,29.5706,29.5248,29.338,29.1961
20160605,12:00:00,26.07,28.471,30.1085,30.1617,30.0857,30.0141,29.7512,29.558
20160605,13:00:00,26.29,28.6328,30.5306,30.6539,30.5952,30.5355,30.3023,30.1269
20160605,14:00:00,26.37,28.5938,30.4361,30.4668,30.3839,30.3066,30.0242,29.8159
20160605,15:00:00,26.45,28.5186,30.3537,30.3426,30.2459,30.1577,29.841,29.6067
20160605,16:00:00,26.53,28.4931,30.347,30.3466,30.2535,30.168,29.8586,29.6286
20160605,17:00:00,26.56,28.0963,29.4537,29.2146,29.0613,28.9337,28.5125,28.2112
20160605,18:00:00,26.61,27.2812,27.5685,26.8946,26.6436,26.4506,28.2882,29.6027
20160605,19:00:00,26.41,25.4281,23.8913,23.3668,23.8976,24.3599,25.2747,25.7293
20160605,20:00:00,26.33,25.5002,23.2908,22.683,22.588,22.5283,22.3853,22.3118
20160605,21:00:00,26.25,25.622,23.118,22.5963,22.5093,22.4535,22.3175,22.2467
20160605,22:00:00,26.12,25.3849,22.9793,22.4911,22.4071,22.3529,22.2196,22.1497
20160605,23:00:00,25.92,25.351,22.7847,22.2829,22.1973,22.1422,22.0071,21.9359
20160606,0:00:00,25.76,24.9588,21.7983,21.2384,21.1492,21.0929,20.9577,20.8854
20160606,1:00:00,25.56,24.9153,21.5999,21.0306,20.9416,20.8857,20.7524,20.6814
20160606,2:00:00,25.46,24.9028,21.518,20.9456,20.8566,20.8008,20.6681,20.5973
20160606,3:00:00,25.36,24.8903,21.4371,20.8607,20.7717,20.716,20.5837,20.5132
20160606,4:00:00,25.27,24.8881,21.3815,20.8035,20.7149,20.6596,20.5285,20.4586
20160606,5:00:00,25.17,24.874,21.2978,20.713,20.6241,20.5687,20.4377,20.3678
20160606,6:00:00,24.97,24.8456,21.1292,20.532,20.4424,20.3868,20.256,20.1862
20160606,7:00:00,25.14,26.0069,25.0329,25.257,25.3242,25.3711,25.4958,25.5907
20160606,8:00:00,25.04,25.8707,24.4826,26.0522,26.3483,26.5415,27.0231,27.3319
20160606,9:00:00,25.01,26.1701,24.6072,25.8006,26.5341,26.9691,27.9395,28.4909
20160606,10:00:00,25.15,26.9611,26.5275,25.98,25.768,25.605,26.8303,28.3211
20160606,11:00:00,25.28,27.6143,27.9985,27.6309,27.4511,27.3081,26.8611,26.5536
20160606,12:00:00,25.54,28.0473,29.0629,28.9182,28.7934,28.688,28.3359,28.0857
20160606,13:00:00,25.69,28.3786,29.9092,29.9985,29.9356,29.8734,29.6358,29.4579
20160606,14:00:00,25.87,28.3585,29.8493,29.833,29.7418,29.6594,29.3658,29.1514
20160606,15:00:00,25.96,28.381,29.9317,29.9164,29.8248,29.7417,29.445,29.2276
20160606,16:00:00,26.00,28.043,29.1283,28.8497,28.692,28.5629,28.145,27.8517
20160606,17:00:00,26.03,27.686,28.3341,27.884,27.6892,27.5355,27.0581,26.7305
20160606,18:00:00,25.95,26.6323,25.9066,25.1949,26.6899,27.5166,29.1825,30.0234
20160606,19:00:00,25.67,24.9421,22.562,23.6795,24.1249,24.3957,25.0191,25.3847
20160606,20:00:00,25.73,25.4389,22.8627,22.2027,22.1058,22.046,21.9058,21.8342
20160606,21:00:00,25.65,25.5607,22.6625,22.104,22.0161,21.9607,21.8278,21.7588
20160606,22:00:00,25.55,25.5356,22.5458,21.9782,21.8891,21.8329,21.6984,21.6283
20160606,23:00:00,25.42,25.2818,22.378,21.8421,21.7551,21.7,21.5666,21.4964
20160607,0:00:00,25.26,24.4151,21.3362,20.7885,20.7022,20.648,20.5182,20.4485
20160607,1:00:00,25.17,24.4092,21.2673,20.7195,20.6336,20.5796,20.4508,20.3815
20160607,2:00:00,25.07,24.3983,21.1902,20.6397,20.554,20.5003,20.3722,20.3033
20160607,3:00:00,24.97,24.3842,21.1037,20.5487,20.4628,20.4091,20.2812,20.2124
20160607,4:00:00,24.87,24.3765,21.0375,20.4805,20.395,20.3416,20.2151,20.1471
20160607,5:00:00,24.77,24.3558,20.935,20.3674,20.2809,20.2269,20.0993,20.0305
20160607,6:00:00,24.67,24.3419,20.846,20.2705,20.1832,20.1289,20.0005,19.9311
20160607,7:00:00,24.74,25.4346,24.586,24.8634,24.9401,24.9931,25.1333,25.2366
20160607,8:00:00,24.76,25.4603,23.7984,25.6627,25.9879,26.1964,26.707,27.0283
20160607,9:00:00,24.78,26.0659,25.3219,24.8063,24.6185,24.8611,26.7089,27.5157
20160607,10:00:00,24.86,27.0376,27.5496,27.3847,27.2649,27.1655,26.8396,26.6095
20160607,11:00:00,25.05,27.5409,28.5972,28.5072,28.3982,28.305,27.9913,27.7683
20160607,12:00:00,25.19,27.8261,29.2595,29.2953,29.219,29.1485,28.8937,28.7081
20160607,13:00:00,25.23,28.0567,29.8055,29.9768,29.9391,29.896,29.7151,29.5775
20160607,14:00:00,25.20,27.8547,29.3264,29.3231,29.2425,29.1692,28.9069,28.7167
20160607,15:00:00,25.25,27.6307,28.801,28.6169,28.492,28.3879,28.0452,27.8049
20160607,16:00:00,25.36,27.2191,27.8711,27.4161,27.2273,27.0798,26.6274,26.3214
20160607,17:00:00,25.29,26.7942,26.935,26.3296,26.1117,25.9458,25.643,27.9345
20160607,18:00:00,25.19,26.213,25.6924,24.9778,24.5764,25.5612,27.7954,28.7912
20160607,19:00:00,25.02,24.678,22.8227,22.3946,22.2682,22.8351,23.9261,24.4258
20160607,20:00:00,25.03,24.8156,22.2935,21.5834,21.4771,21.4135,21.2696,21.1973
20160607,21:00:00,24.83,24.7889,22.0943,21.4056,21.2969,21.2322,21.0873,21.0147
20160607,22:00:00,24.74,24.8624,21.9398,21.2768,21.1818,21.1237,20.9886,20.9187
20160607,23:00:00,24.65,24.9187,21.7571,21.1554,21.0651,21.0091,20.8769,20.8073
20160608,0:00:00,24.37,24.7872,20.705,20.0658,19.9749,19.9195,19.7915,19.7233
20160608,1:00:00,24.27,24.7731,20.6169,19.9744,19.8834,19.828,19.7003,19.6322
20160608,2:00:00,24.17,24.7589,20.5298,19.8832,19.792,19.7366,19.6091,19.541
20160608,3:00:00,24.07,24.7211,20.3825,19.7201,19.6266,19.5698,19.439,19.3688
20160608,4:00:00,23.97,24.7126,20.3168,19.6564,19.5643,19.5084,19.3804,19.312
20160608,5:00:00,23.87,24.7074,20.249,19.5843,19.4921,19.4363,19.3087,19.2403
20160608,6:00:00,23.80,24.6977,20.2183,19.5606,19.4705,19.4162,19.2927,19.2268
20160608,7:00:00,23.88,26.1436,23.7615,23.341,23.2592,23.2109,23.1036,23.0565
20160608,8:00:00,23.94,26.2225,24.4548,24.3068,24.2615,24.2242,24.097,24.0054
20160608,9:00:00,24.14,26.6769,25.884,25.8654,25.8224,25.7827,25.6359,25.5281
20160608,10:00:00,24.26,27.2407,27.3098,27.4535,27.4368,27.4134,27.3034,27.2178
20160608,11:00:00,24.48,27.8161,28.6256,28.8746,28.8742,28.8608,28.7734,28.7026
20160608,12:00:00,24.70,28.4057,29.8414,30.1697,30.1795,30.1714,30.0912,30.0228
20160608,13:00:00,24.81,28.4541,29.9427,30.2399,30.2434,30.2307,30.1377,30.061
20160608,14:00:00,24.89,28.3918,29.7713,29.9606,29.9378,29.9068,29.7645,29.6562
20160608,15:00:00,25.06,28.301,29.5648,29.652,29.604,29.5553,29.3661,29.2282
20160608,16:00:00,25.10,28.0586,29.0476,28.9968,28.9137,28.8402,28.5844,28.4028
20160608,17:00:00,25.14,27.7596,28.2903,27.9576,27.8037,27.6814,27.2992,27.0404
20160608,18:00:00,24.99,26.5384,25.6766,25.1309,24.9494,24.8115,26.3469,27.3472
20160608,19:00:00,24.76,25.2138,23.1879,22.8966,22.8058,22.735,22.5139,23.0687
20160608,20:00:00,24.71,25.1155,21.6858,21.1902,21.1394,21.1141,21.0779,21.0817
20160608,21:00:00,24.71,25.1305,21.7259,21.266,21.2254,21.2079,21.1495,21.0111
20160608,22:00:00,24.63,25.2617,21.9965,21.2606,21.1454,21.0779,20.9298,20.8567
20160608,23:00:00,24.52,25.242,21.8742,21.1567,21.0372,20.9677,20.8164,20.742
20160609,0:00:00,24.38,24.9422,21.0041,20.1134,19.9981,19.9312,19.7858,19.7125
20160609,1:00:00,24.28,24.935,20.9243,20.0452,19.9284,19.861,19.7156,19.6427
20160609,2:00:00,24.20,24.7405,20.5274,19.8821,19.7915,19.7364,19.6098,19.5422
20160609,3:00:00,24.07,24.7357,20.4222,19.7666,19.6748,19.619,19.491,19.4226
20160609,4:00:00,23.97,24.7355,20.3821,19.7351,19.6459,19.592,19.4691,19.4038
20160609,5:00:00,23.97,24.7552,20.4323,19.7952,19.708,19.6554,19.5357,19.4725
20160609,6:00:00,23.88,24.9039,20.5445,19.9176,19.7495,19.659,19.4836,19.405
20160609,7:00:00,23.98,26.1827,23.9091,23.4093,23.3347,23.2898,23.1877,23.1422
20160609,8:00:00,24.02,26.1307,24.2388,23.9939,23.9217,23.8649,23.8895,24.2995
20160609,9:00:00,24.19,26.3945,25.202,24.9941,24.9054,24.8341,24.6051,24.4457
20160609,10:00:00,24.39,26.8542,26.3836,26.226,26.1341,26.0588,25.8139,25.6443
20160609,11:00:00,24.51,27.4075,27.604,27.5101,27.4225,27.3483,27.1002,26.9275
20160609,12:00:00,24.73,27.9644,28.7541,28.7228,28.6428,28.5723,28.3285,28.1573
20160609,13:00:00,24.89,27.8018,28.3651,28.1732,28.0608,27.9693,27.6766,27.4792
20160609,14:00:00,24.94,27.5683,27.8486,27.4874,27.3358,27.2173,26.8547,26.6139
20160609,15:00:00,25.08,27.3161,27.3173,26.8377,26.6658,26.5353,26.1491,25.8986
20160609,16:00:00,25.14,27.1992,27.0801,26.5424,26.3551,26.2137,25.7973,25.5267
20160609,17:00:00,25.08,26.2985,25.2873,24.5523,24.3378,25.1979,28.0716,29.3259
20160609,18:00:00,24.94,25.4919,23.7853,25.6601,26.6968,27.3069,28.655,29.4078
20160609,19:00:00,24.79,24.7979,22.4715,22.0777,21.9649,22.3175,23.5347,24.0717
20160609,20:00:00,24.84,25.3636,22.3371,21.5427,21.4407,21.3804,21.2466,21.1809
20160609,21:00:00,24.75,25.2684,21.9455,21.3801,21.2967,21.2451,21.1238,21.0613
20160609,22:00:00,24.63,25.1944,21.7937,21.2194,21.1339,21.0809,20.9562,20.8911
20160609,23:00:00,24.53,25.1839,21.7154,21.1405,21.0554,21.0028,20.879,20.8146
20160610,0:00:00,24.37,24.8094,20.781,20.1643,20.0791,20.0275,19.9094,19.8477
20160610,1:00:00,24.27,24.79,20.6779,20.0543,19.9683,19.9163,19.7975,19.7351
20160610,2:00:00,24.27,24.7953,20.6932,20.0727,19.9873,19.9357,19.818,19.7563
20160610,3:00:00,24.19,24.9374,20.789,20.0063,19.9072,19.849,19.721,19.6558
20160610,4:00:00,24.10,24.9488,20.7791,19.9926,19.8949,19.8379,19.7137,19.6512
20160610,5:00:00,23.99,24.8679,20.6734,19.7944,19.6869,19.6245,19.4898,19.4217
20160610,6:00:00,23.99,24.8825,20.6965,19.8372,19.7321,19.6713,19.5398,19.4736
20160610,7:00:00,24.11,26.1759,23.8482,23.4659,23.4049,23.3661,23.272,23.2283
20160610,8:00:00,24.05,25.7246,23.7047,24.3805,24.526,24.6233,24.8726,25.0404
20160610,9:00:00,24.10,26.0253,23.9766,24.0373,24.3269,24.4958,24.865,25.0776
20160610,10:00:00,24.22,26.554,25.6262,25.4771,25.3987,25.3341,25.1214,24.9724
20160610,11:00:00,24.39,26.9185,26.5857,26.6121,26.5738,26.5369,26.3978,26.2973
20160610,12:00:00,24.53,27.6177,28.2085,28.411,28.402,28.3831,28.2824,28.2033
20160610,13:00:00,24.85,27.8486,28.7602,28.9666,28.9576,28.9382,28.8347,28.7538
20160610,14:00:00,24.94,27.8386,28.7732,28.9745,28.9668,28.9483,28.8477,28.7687
20160610,15:00:00,24.94,27.3969,27.8308,27.9186,27.8929,27.8633,27.7378,27.644
20160610,16:00:00,25.19,27.6983,28.4748,28.5262,28.4793,28.4328,28.2535,28.1212
20160610,17:00:00,25.11,27.2849,27.5101,27.3789,27.2902,27.2147,26.9589,26.7763
20160610,18:00:00,25.12,26.7181,26.1099,25.5532,25.3652,25.2232,26.027,27.568
20160610,19:00:00,24.82,24.9964,22.7116,22.343,22.2354,22.1535,23.253,23.8242
20160610,20:00:00,24.82,25.2299,21.996,21.5742,21.469,21.3701,21.1768,21.0925
20160610,21:00:00,24.72,25.2518,22.012,21.447,21.3112,21.2343,21.0736,20.9982
20160610,22:00:00,24.62,25.2384,21.91,21.3625,21.2237,21.1455,20.983,20.907
20160610,23:00:00,24.53,25.2484,21.8954,21.1741,21.0566,20.9882,20.839,20.7656
20160611,0:00:00,24.40,24.7639,20.6914,20.0507,19.9598,19.9044,19.7764,19.7082
20160611,1:00:00,24.38,24.9482,21.0221,20.1294,20.0157,19.9496,19.806,19.7336
20160611,2:00:00,24.29,25.006,20.7314,19.9861,19.8865,19.8269,19.6926,19.6223
20160611,3:00:00,24.28,24.9132,20.9248,20.1898,20.0603,19.9875,19.8362,19.7634
20160611,4:00:00,24.18,24.8998,20.8278,20.1055,19.9731,19.8988,19.7457,19.6725
20160611,5:00:00,24.07,24.8545,20.6272,19.9431,19.795,19.7128,19.5458,19.4666
20160611,6:00:00,24.08,24.9085,20.7257,19.8743,19.7525,19.6827,19.5344,19.4607
20160611,7:00:00,24.18,26.0834,23.9569,23.9163,23.9291,23.94,23.9736,24.01
20160611,8:00:00,24.14,25.9352,24.4767,25.1367,25.3302,25.4659,25.8295,26.0766
20160611,9:00:00,24.02,25.7664,24.7627,26.0712,26.4249,26.6709,27.3238,27.7546
20160611,10:00:00,24.01,25.7378,25.2653,27.0798,27.5537,27.8816,28.7474,29.3127
20160611,11:00:00,23.76,25.488,25.0865,27.4718,28.0967,28.5297,29.6762,30.4212
20160611,12:00:00,23.79,23.3571,21.3182,26.7087,27.6705,28.275,29.7222,30.5892
20160611,13:00:00,23.72,25.4041,25.1814,27.847,28.5423,29.0239,30.2981,31.1243
20160611,14:00:00,23.91,24.6219,22.524,26.5359,27.8869,28.7007,30.5522,31.6091
20160611,15:00:00,23.61,25.6129,25.3819,27.8587,28.5037,28.95,30.1294,30.8947
20160611,16:00:00,23.87,25.4242,22.9535,25.6213,26.3144,26.7434,27.7526,28.3519
20160611,17:00:00,23.75,25.4395,22.804,24.8243,25.1787,25.4065,25.9652,26.3139
20160611,18:00:00,23.78,26.044,23.624,23.5125,23.5154,23.5203,23.5403,23.5681
20160611,19:00:00,23.53,24.9501,21.2797,20.9535,20.9068,20.8739,20.7744,20.8762
20160611,20:00:00,23.41,24.9842,20.6154,20.0415,19.9883,19.9643,19.8614,19.7266
20160611,21:00:00,23.32,25.0354,20.6852,20.1656,19.9834,19.8833,19.6877,19.599
20160611,22:00:00,23.36,24.9866,20.6464,19.9914,19.9,19.8446,19.7176,19.6503
20160611,23:00:00,23.24,25.2324,20.6639,19.8981,19.797,19.7368,19.6017,19.5312
20160612,0:00:00,23.09,24.3618,19.9098,18.9711,18.852,18.7842,18.6415,18.5694
20160612,1:00:00,22.96,24.1439,19.3808,18.7213,18.6538,18.6206,18.5761,18.567
20160612,2:00:00,22.86,24.1236,19.2667,18.5844,18.5118,18.475,18.4189,18.4105
20160612,3:00:00,22.87,24.2013,19.4045,18.7325,18.6655,18.6337,18.5868,18.4358
20160612,4:00:00,22.76,24.11,19.1712,18.4739,18.3983,18.3594,18.2974,18.2841
20160612,5:00:00,22.67,24.1922,19.2798,18.611,18.5497,18.4749,18.2363,18.1355
20160612,6:00:00,22.58,24.2843,19.3777,18.5946,18.4281,18.3382,18.1632,18.0814
20160612,7:00:00,22.68,25.4558,22.6299,22.3775,22.3575,22.348,22.3336,22.3388
20160612,8:00:00,22.58,25.0183,22.2672,23.45,23.6753,23.8226,24.1907,24.4257
20160612,9:00:00,22.49,25.2666,22.3285,22.8044,22.9376,23.0238,23.2369,23.3755
20160612,10:00:00,22.50,25.2968,22.5102,22.6469,22.8728,23.0076,23.3101,23.4879
20160612,11:00:00,22.53,25.3934,22.9282,22.5391,22.8223,23.1286,23.7359,24.0402
20160612,12:00:00,22.54,25.5474,23.2686,23.0606,23.0076,22.9652,22.8189,23.2701
20160612,13:00:00,22.62,26.136,25.0785,24.8653,24.7559,24.6662,24.3726,24.1612
20160612,14:00:00,22.39,25.6962,23.7687,23.7463,23.7399,23.7308,23.6838,23.6463
20160612,15:00:00,22.58,26.4347,25.8632,25.8998,25.8566,25.8134,25.6448,25.5141
20160612,16:00:00,22.56,26.3168,25.5672,25.5055,25.4399,25.3811,25.171,25.0136
20160612,17:00:00,22.36,25.875,24.3822,24.2096,24.1342,24.0711,23.857,23.6993
20160612,18:00:00,22.37,25.7771,24.1584,23.7717,23.6324,23.5233,23.3014,24.7413
20160612,19:00:00,21.97,24.278,20.6398,20.3735,20.3152,20.2692,20.1194,20.4135
20160612,20:00:00,21.91,24.3096,19.2363,18.5031,18.4225,18.3803,18.3089,18.2882
20160612,21:00:00,21.82,24.3698,19.316,18.6214,18.556,18.5264,18.3742,18.2448
20160612,22:00:00,21.83,24.4726,19.5393,18.6507,18.5066,18.4264,18.2628,18.1821
20160612,23:00:00,21.73,24.4722,19.4815,18.6098,18.4622,18.3807,18.2163,18.1362
20160613,0:00:00,21.57,24.3611,18.2776,17.4402,17.3359,17.2752,17.1433,17.0714
20160613,1:00:00,21.47,24.347,18.1912,17.3493,17.2448,17.1841,17.0524,16.9805
20160613,2:00:00,21.47,24.3588,18.2229,17.3895,17.2864,17.2267,17.0972,17.0267
20160613,3:00:00,21.37,24.3469,18.1439,17.3085,17.2061,17.1469,17.0192,16.9498
20160613,4:00:00,21.30,24.3356,18.1091,17.2522,17.1485,17.0888,16.9611,16.892
20160613,5:00:00,21.17,24.5262,18.0702,17.1207,17.0147,16.9596,16.8696,16.8447
20160613,6:00:00,21.07,24.5325,18.0311,17.0773,16.9717,16.9172,16.8307,16.8099
20160613,7:00:00,21.29,25.6984,21.4881,21.1627,21.1681,21.1748,21.1996,21.2253
20160613,8:00:00,21.36,25.6389,22.1778,21.8244,21.7308,21.6519,22.554,22.9459
20160613,9:00:00,21.47,25.9248,23.359,23.0861,22.9831,22.901,22.6397,23.4134
20160613,10:00:00,21.60,26.3061,24.5374,24.3153,24.2069,24.1192,23.8379,23.6395
20160613,11:00:00,21.71,26.6167,25.3583,25.1213,24.998,24.8987,24.5832,24.3635
20160613,12:00:00,21.88,26.8918,26.0794,25.9546,25.8568,25.7749,25.5043,25.3135
20160613,13:00:00,22.05,26.8402,25.9585,25.7238,25.5987,25.4978,25.1774,24.9556
20160613,14:00:00,22.15,26.9363,26.1414,25.9052,25.7785,25.6757,25.3465,25.1168
20160613,15:00:00,22.21,26.7825,25.8006,25.4567,25.3084,25.1912,24.8273,24.5777
20160613,16:00:00,22.36,26.6258,25.4499,25.0149,24.8482,24.7188,24.3255,23.8573
20160613,17:00:00,22.36,26.1918,24.4642,23.8823,23.6896,23.5444,24.7112,26.4926
20160613,18:00:00,22.22,24.9353,21.8719,24.4207,25.2774,25.7977,26.9936,27.6839
20160613,19:00:00,22.05,23.7837,19.3265,20.9046,21.2914,21.5335,22.11,22.4522
20160613,20:00:00,22.23,24.8205,19.6924,18.9254,18.8253,18.766,18.6339,18.5634
20160613,21:00:00,22.15,24.79,19.5849,18.8143,18.7131,18.653,18.5189,18.4469
