yyyymmdd,Hr:Min:Sec,F37B-Hard,F37B-Soft
20160605,0:00:00,16.6044,18.2816
20160605,1:00:00,16.6431,18.304
20160605,2:00:00,16.9385,18.3413
20160605,3:00:00,17.1012,18.3785
20160605,4:00:00,17.3304,18.4199
20160605,5:00:00,17.622,18.3656
20160605,6:00:00,17.9623,18.8914
20160605,7:00:00,18.6503,20.3369
20160605,8:00:00,19.1989,18.954
20160605,9:00:00,20.7287,20.3573
20160605,10:00:00,21.7225,20.6006
20160605,11:00:00,22.259,20.6792
20160605,12:00:00,24.0369,20.7005
20160605,13:00:00,21.7929,20.694
20160605,14:00:00,20.5814,20.5457
20160605,15:00:00,19.6384,20.3654
20160605,16:00:00,18.8868,20.1314
20160605,17:00:00,18.4384,19.7049
20160605,18:00:00,18.1741,20.2382
20160605,19:00:00,17.9096,19.1319
20160605,20:00:00,17.7282,18.2005
20160605,21:00:00,17.7667,18.2133
20160605,22:00:00,17.7462,18.1799
20160605,23:00:00,17.763,18.1344
20160606,0:00:00,17.7909,18.1231
20160606,1:00:00,17.81,18.125
20160606,2:00:00,17.7931,18.1704
20160606,3:00:00,17.8446,18.2585
20160606,4:00:00,17.9317,18.2987
20160606,5:00:00,18.112,18.3053
20160606,6:00:00,18.4921,18.7179
20160606,7:00:00,18.9412,19.8817
20160606,8:00:00,19.7116,19.3941
20160606,9:00:00,20.8578,19.9789
20160606,10:00:00,21.9146,20.5154
20160606,11:00:00,21.5403,20.6722
20160606,12:00:00,20.8346,20.7211
20160606,13:00:00,20.193,20.7303
20160606,14:00:00,19.9049,20.7331
20160606,15:00:00,19.0751,20.5575
20160606,16:00:00,18.5936,20.3224
20160606,17:00:00,18.3015,19.8775
20160606,18:00:00,18.0521,20.3571
20160606,19:00:00,18.0296,19.2557
20160606,20:00:00,18.0707,18.4348
20160606,21:00:00,18.1672,18.474
20160606,22:00:00,18.1217,18.5161
20160606,23:00:00,18.1229,18.5429
20160607,0:00:00,18.1194,18.4653
20160607,1:00:00,18.1461,18.4278
20160607,2:00:00,18.0996,18.4469
20160607,3:00:00,18.1227,18.539
20160607,4:00:00,18.2204,18.604
20160607,5:00:00,18.3524,18.5872
20160607,6:00:00,18.5009,18.9004
20160607,7:00:00,18.8776,20.0542
20160607,8:00:00,19.2222,19.6689
20160607,9:00:00,20.0838,20.3249
20160607,10:00:00,21.069,20.9005
20160607,11:00:00,21.5699,21.1832
20160607,12:00:00,21.226,21.3282
20160607,13:00:00,19.7838,21.4782
20160607,14:00:00,19.7472,21.2422
20160607,15:00:00,19.4169,21.0304
20160607,16:00:00,18.9806,20.7679
20160607,17:00:00,18.6245,20.3363
20160607,18:00:00,18.4075,20.59
20160607,19:00:00,18.1206,19.3541
20160607,20:00:00,17.8751,18.5163
20160607,21:00:00,17.9723,18.5716
20160607,22:00:00,17.9466,18.6389
20160607,23:00:00,17.9949,18.6585
20160608,0:00:00,18.0178,19.1333
20160608,1:00:00,17.997,19.0884
20160608,2:00:00,18.0349,19.0894
20160608,3:00:00,18.1301,19.0976
20160608,4:00:00,18.2637,19.1163
20160608,5:00:00,18.3772,19.1108
20160608,6:00:00,18.4915,19.1127
20160608,7:00:00,18.795,20.1408
20160608,8:00:00,18.9565,19.4586
20160608,9:00:00,19.1659,20.2788
20160608,10:00:00,19.1234,20.6232
20160608,11:00:00,19.2362,21.0293
20160608,12:00:00,19.3624,21.2321
20160608,13:00:00,22.2799,21.327
20160608,14:00:00,22.1289,21.461
20160608,15:00:00,21.6498,21.236
20160608,16:00:00,20.8584,19.9602
20160608,17:00:00,20.2924,19.7092
20160608,18:00:00,20.0211,20.8452
20160608,19:00:00,19.8762,19.7443
20160608,20:00:00,19.6111,18.9322
20160608,21:00:00,19.4323,18.9591
20160608,22:00:00,19.2243,18.9722
20160608,23:00:00,19.0894,18.9257
20160609,0:00:00,18.9816,19.0448
20160609,1:00:00,18.981,19.0337
20160609,2:00:00,18.8985,19.0938
20160609,3:00:00,18.8056,19.1341
20160609,4:00:00,18.7914,19.2393
20160609,5:00:00,18.8088,19.2066
20160609,6:00:00,18.969,19.1807
20160609,7:00:00,19.3308,20.4642
20160609,8:00:00,20.1714,20.0472
20160609,9:00:00,20.9672,20.7136
20160609,10:00:00,21.1918,21.0441
20160609,11:00:00,21.2241,21.2711
20160609,12:00:00,21.5602,21.2819
20160609,13:00:00,21.5441,21.3238
20160609,14:00:00,20.4443,21.1619
20160609,15:00:00,19.6532,20.8868
20160609,16:00:00,19.855,20.6944
20160609,17:00:00,19.7444,20.2701
20160609,18:00:00,19.3692,20.7925
20160609,19:00:00,18.9529,19.7805
20160609,20:00:00,18.7562,19.0895
20160609,21:00:00,18.6448,19.1422
20160609,22:00:00,18.5806,19.1883
20160609,23:00:00,18.4489,19.2129
20160610,0:00:00,18.3622,18.3935
20160610,1:00:00,18.3232,18.3692
20160610,2:00:00,18.2757,18.3661
20160610,3:00:00,18.3231,18.367
20160610,4:00:00,18.3612,18.3714
20160610,5:00:00,18.4728,18.3256
20160610,6:00:00,18.8138,18.3204
20160610,7:00:00,19.2323,19.5266
20160610,8:00:00,19.4464,17.6266
20160610,9:00:00,19.4208,18.8778
20160610,10:00:00,19.5154,19.892
20160610,11:00:00,19.475,19.5313
20160610,12:00:00,19.4946,19.8587
20160610,13:00:00,19.492,19.8157
20160610,14:00:00,19.3708,20.3933
20160610,15:00:00,18.9974,19.6696
20160610,16:00:00,18.8383,19.9518
20160610,17:00:00,18.7895,19.6279
20160610,18:00:00,18.7283,20.0779
20160610,19:00:00,18.4921,19.0837
20160610,20:00:00,18.3886,18.3443
20160610,21:00:00,18.278,18.4145
20160610,22:00:00,18.1492,18.5028
20160610,23:00:00,18.1546,18.6257
20160611,0:00:00,18.2287,18.8025
20160611,1:00:00,18.1016,19.1697
20160611,2:00:00,18.1355,18.8785
20160611,3:00:00,18.0442,18.7515
20160611,4:00:00,18.1146,18.7348
20160611,5:00:00,18.0995,19.1305
20160611,6:00:00,18.3823,18.822
20160611,7:00:00,18.744,19.5201
20160611,8:00:00,19.1991,18.6178
20160611,9:00:00,19.7698,19.6112
20160611,10:00:00,20.1054,20.0712
20160611,11:00:00,20.0541,20.295
20160611,12:00:00,23.0786,20.508
20160611,13:00:00,21.6474,19.7419
20160611,14:00:00,21.2487,18.8476
20160611,15:00:00,19.0704,18.6706
20160611,16:00:00,18.2037,18.2682
20160611,17:00:00,17.7962,17.288
20160611,18:00:00,17.5592,18.9509
20160611,19:00:00,17.4437,18.9246
20160611,20:00:00,17.2553,18.8518
20160611,21:00:00,17.2213,18.8027
20160611,22:00:00,17.42,18.8018
20160611,23:00:00,17.6919,18.7456
20160612,0:00:00,17.9921,18.5042
20160612,1:00:00,17.7175,18.5007
20160612,2:00:00,17.3869,18.5123
20160612,3:00:00,17.4969,18.4337
20160612,4:00:00,17.828,18.4345
20160612,5:00:00,18.0586,18.5111
20160612,6:00:00,18.3515,18.6384
20160612,7:00:00,18.8425,18.9176
20160612,8:00:00,18.5954,17.1987
20160612,9:00:00,19.3884,17.433
20160612,10:00:00,21.1861,18.9243
20160612,11:00:00,22.5082,17.5542
20160612,12:00:00,21.0843,19.1568
20160612,13:00:00,18.8388,17.629
20160612,14:00:00,18.7529,19.0297
20160612,15:00:00,18.5481,18.8899
20160612,16:00:00,18.2909,19.4187
20160612,17:00:00,18.0497,19.1491
20160612,18:00:00,17.8536,19.2704
20160612,19:00:00,17.7118,18.7855
20160612,20:00:00,17.5739,18.3916
20160612,21:00:00,17.54,18.7248
20160612,22:00:00,17.4898,18.5735
20160612,23:00:00,17.2721,18.4821
20160613,0:00:00,17.7235,18.9969
20160613,1:00:00,17.7715,19.0128
20160613,2:00:00,17.6734,18.9346
20160613,3:00:00,17.6545,18.9361
20160613,4:00:00,17.7403,18.9518
20160613,5:00:00,17.8058,18.936
20160613,6:00:00,17.9851,19.1476
20160613,7:00:00,18.9368,19.43
20160613,8:00:00,20.0706,18.9386
20160613,9:00:00,20.5237,19.5279
20160613,10:00:00,20.54,20.1463
20160613,11:00:00,20.2911,20.5039
20160613,12:00:00,20.3475,20.6616
20160613,13:00:00,20.1303,20.758
20160613,14:00:00,20.0336,20.7039
20160613,15:00:00,20.5983,20.5012
20160613,16:00:00,20.1005,20.2895
20160613,17:00:00,19.6531,19.8384
20160613,18:00:00,19.3611,20.2952
20160613,19:00:00,19.0624,19.3415
20160613,20:00:00,18.7494,18.9717
20160613,21:00:00,18.542,19.2324
20160613,22:00:00,18.5102,19.2347
20160613,23:00:00,18.3453,19.5373
20160614,0:00:00,18.2949,18.6932
20160614,1:00:00,18.1812,18.8228
20160614,2:00:00,18.1585,18.6082
20160614,3:00:00,18.156,18.6012
20160614,4:00:00,18.1732,18.52
20160614,5:00:00,18.2438,18.8051
20160614,6:00:00,18.4468,18.7689
20160614,7:00:00,18.7649,19.5787
20160614,8:00:00,19.3829,19.0477
20160614,9:00:00,20.0342,19.4712
20160614,10:00:00,20.3135,19.784
20160614,11:00:00,20.3745,20.0416
20160614,12:00:00,20.6244,20.1666
20160614,13:00:00,20.4714,20.2675
20160614,14:00:00,19.6979,20.2744
20160614,15:00:00,18.9976,20.1069
20160614,16:00:00,18.4902,19.7724
20160614,17:00:00,18.2032,19.3831
20160614,18:00:00,18.1215,19.9863
20160614,19:00:00,18.1456,18.964
20160614,20:00:00,18.0715,18.4652
20160614,21:00:00,17.8839,18.7309
20160614,22:00:00,17.5863,18.941
20160614,23:00:00,17.4253,18.9428
20160615,0:00:00,17.2696,19.3584
20160615,1:00:00,17.1353,19.3573
20160615,2:00:00,16.9957,19.3676
20160615,3:00:00,17.067,19.2697
20160615,4:00:00,17.313,19.2723
20160615,5:00:00,17.6759,19.3495
20160615,6:00:00,18.3113,19.6723
20160615,7:00:00,19.0947,20.293
