yyyymmdd,Hr:Min:Sec,WaterTem - c
20160610,0:00:00,28.57
20160610,1:00:00,27.7
20160610,2:00:00,26.33
20160610,3:00:00,25.99
20160610,4:00:00,25.79
20160610,5:00:00,25.62
20160610,6:00:00,25.57
20160610,7:00:00,25.55
20160610,8:00:00,25.38
20160610,9:00:00,25.07
20160610,10:00:00,24.73
20160610,11:00:00,24.29
20160610,12:00:00,23.64
20160610,13:00:00,23.4
20160610,14:00:00,23.26
20160610,15:00:00,24.44
20160610,16:00:00,25.09
20160610,17:00:00,25.33
20160610,18:00:00,25.6
20160610,19:00:00,27.73
20160610,20:00:00,28.84
20160610,21:00:00,29.19
20160610,22:00:00,28.72
20160610,23:00:00,28.22
20160611,0:00:00,27.6
20160611,1:00:00,26.72
20160611,2:00:00,27.19
20160611,3:00:00,26.52
20160611,4:00:00,25.91
20160611,5:00:00,25.4
20160611,6:00:00,25.21
20160611,7:00:00,25.07
20160611,8:00:00,25.02
20160611,9:00:00,24.82
20160611,10:00:00,24.58
20160611,11:00:00,24.36
20160611,12:00:00,24.1
20160611,13:00:00,23.91
20160611,14:00:00,23.69
20160611,15:00:00,23.67
20160611,16:00:00,24.2
20160611,17:00:00,24.34
20160611,18:00:00,25.94
20160611,19:00:00,29.04
20160611,20:00:00,29.92
20160611,21:00:00,29.41
20160611,22:00:00,28.87
20160611,23:00:00,28.74
20160612,0:00:00,28.2
20160612,1:00:00,27.36
20160612,2:00:00,27.01
20160612,3:00:00,26.87
20160612,4:00:00,25.94
20160612,5:00:00,25.26
20160612,6:00:00,25.04
20160612,7:00:00,24.92
20160612,8:00:00,24.85
20160612,9:00:00,24.82
20160612,10:00:00,24.68
20160612,11:00:00,24.51
20160612,12:00:00,24.34
20160612,13:00:00,24.22
20160612,14:00:00,24.15
20160612,15:00:00,23.93
20160612,16:00:00,24.03
20160612,17:00:00,24.77
20160612,18:00:00,26.57
20160612,19:00:00,29.12
20160612,20:00:00,30.87
20160612,21:00:00,31.94
20160612,22:00:00,32.61
20160612,23:00:00,32.72
20160613,0:00:00,31.38
20160613,1:00:00,29.77
20160613,2:00:00,28.52
20160613,3:00:00,27.8
20160613,4:00:00,27.68
20160613,5:00:00,26.65
20160613,6:00:00,25.82
20160613,7:00:00,25.57
20160613,8:00:00,25.31
20160613,9:00:00,25.31
20160613,10:00:00,24.97
20160613,11:00:00,24.27
20160613,12:00:00,23.74
20160613,13:00:00,23.35
20160613,14:00:00,23.35
20160613,15:00:00,23.35
20160613,16:00:00,23.21
20160613,17:00:00,24.03
20160613,18:00:00,26.26
20160613,19:00:00,29.52
20160613,20:00:00,31.2
20160613,21:00:00,32.12
20160613,22:00:00,32.28
20160613,23:00:00,31.77
20160614,0:00:00,30.14
20160614,1:00:00,29.37
20160614,2:00:00,28.37
20160614,3:00:00,27.53
20160614,4:00:00,27.38
20160614,5:00:00,27.36
20160614,6:00:00,26.6
20160614,7:00:00,26.01
20160614,8:00:00,25.72
20160614,9:00:00,25.53
20160614,10:00:00,25.31
20160614,11:00:00,24.68
20160614,12:00:00,23.47
20160614,13:00:00,23.3
20160614,14:00:00,22.85
20160614,15:00:00,22.54
20160614,16:00:00,22.71
20160614,17:00:00,25.04
20160614,18:00:00,27.92
20160614,19:00:00,29.39
20160614,20:00:00,31.77
20160614,21:00:00,32.54
20160614,22:00:00,32.77
20160614,23:00:00,32.51
20160615,0:00:00,31.2
20160615,1:00:00,29.94
20160615,2:00:00,28.89
20160615,3:00:00,27.83
20160615,4:00:00,27.41
20160615,5:00:00,27.6
20160615,6:00:00,27.21
20160615,7:00:00,27.04
20160615,8:00:00,26.7
20160615,9:00:00,26.55
20160615,10:00:00,25.55
20160615,11:00:00,23.91
20160615,12:00:00,22.66
20160615,13:00:00,22.03
20160615,14:00:00,22.08
20160615,15:00:00,22.47
20160615,16:00:00,23.18
20160615,17:00:00,25.6
20160615,18:00:00,27.58
20160615,19:00:00,29.57
20160615,20:00:00,31.94
20160615,21:00:00,32.74
20160615,22:00:00,33.11
20160615,23:00:00,33.03
20160616,0:00:00,32.15
20160616,1:00:00,30.93
20160616,2:00:00,29.52
20160616,3:00:00,28.15
20160616,4:00:00,27.24
20160616,5:00:00,26.6
20160616,6:00:00,26.13
20160616,7:00:00,26.04
20160616,8:00:00,25.65
20160616,9:00:00,24.51
20160616,10:00:00,23.76
20160616,11:00:00,23.33
20160616,12:00:00,22.99
20160616,13:00:00,22.78
20160616,14:00:00,22.68
20160616,15:00:00,22.82
20160616,16:00:00,23.81
20160616,17:00:00,26.5
20160616,18:00:00,28.72
20160616,19:00:00,30.55
20160616,20:00:00,32.2
20160616,21:00:00,32.87
20160616,22:00:00,32.95
20160616,23:00:00,32.46
20160617,0:00:00,31.82
20160617,1:00:00,30.52
20160617,2:00:00,29.17
20160617,3:00:00,27.95
20160617,4:00:00,27.11
20160617,5:00:00,26.45
20160617,6:00:00,25.77
20160617,7:00:00,25.04
20160617,8:00:00,24.36
20160617,9:00:00,23.71
20160617,10:00:00,23.21
20160617,11:00:00,22.73
20160617,12:00:00,22.32
20160617,13:00:00,21.96
20160617,14:00:00,21.87
20160617,15:00:00,22.27
20160617,16:00:00,23.16
20160617,17:00:00,25.36
20160617,18:00:00,27.53
20160617,19:00:00,29.52
20160617,20:00:00,30.93
20160617,21:00:00,31.79
20160617,22:00:00,32.12
20160617,23:00:00,31.84
20160618,0:00:00,31
20160618,1:00:00,30.24
20160618,2:00:00,29.37
20160618,3:00:00,28.54
20160618,4:00:00,27.7
20160618,5:00:00,26.84
20160618,6:00:00,26.23
20160618,7:00:00,25.6
20160618,8:00:00,25.07
20160618,9:00:00,24.44
20160618,10:00:00,23.88
20160618,11:00:00,23.47
20160618,12:00:00,23.04
20160618,13:00:00,22.78
20160618,14:00:00,22.66
20160618,15:00:00,22.8
20160618,16:00:00,23.28
20160618,17:00:00,24.82
20160618,18:00:00,27.14
20160618,19:00:00,29.74
20160618,20:00:00,31.56
20160618,21:00:00,32.33
20160618,22:00:00,32.87
20160618,23:00:00,31.1
20160619,0:00:00,28.57
20160619,1:00:00,28.47
20160619,2:00:00,28.64
20160619,3:00:00,27.83
20160619,4:00:00,26.97
20160619,5:00:00,26.23
20160619,6:00:00,25.55
20160619,7:00:00,24.92
20160619,8:00:00,24.36
20160619,9:00:00,23.79
20160619,10:00:00,23.35
20160619,11:00:00,23.02
20160619,12:00:00,22.61
20160619,13:00:00,22.35
20160619,14:00:00,22.32
20160619,15:00:00,22.68
20160619,16:00:00,24
20160619,17:00:00,26.52
20160619,18:00:00,28.97
20160619,19:00:00,30.62
20160619,20:00:00,31.94
20160619,21:00:00,32.59
20160619,22:00:00,32.79
20160619,23:00:00,31.74
20160620,0:00:00,28.89
20160620,1:00:00,27.97
20160620,2:00:00,28.2
20160620,3:00:00,27.92
20160620,4:00:00,27.21
20160620,5:00:00,26.45
20160620,6:00:00,25.77
20160620,7:00:00,25.07
20160620,8:00:00,24.41
20160620,9:00:00,23.76
20160620,10:00:00,23.21
20160620,11:00:00,22.8
20160620,12:00:00,22.47
20160620,13:00:00,22.23
20160620,14:00:00,22.3
20160620,15:00:00,22.59
20160620,16:00:00,23.4
20160620,17:00:00,26.16
20160620,18:00:00,28.84
20160620,19:00:00,30.72
20160620,20:00:00,32.15
20160620,21:00:00,32.95
20160620,22:00:00,33.08
20160620,23:00:00,29.99
20160621,0:00:00,28
20160621,1:00:00,27.6
20160621,2:00:00,27.58
20160621,3:00:00,27.38
20160621,4:00:00,27.24
20160621,5:00:00,26.45
20160621,6:00:00,25.67
20160621,7:00:00,24.9
20160621,8:00:00,24.15
20160621,9:00:00,23.5
20160621,10:00:00,22.94
20160621,11:00:00,22.51
20160621,12:00:00,22.25
20160621,13:00:00,22.06
20160621,14:00:00,21.99
20160621,15:00:00,22.27
20160621,16:00:00,23.14
20160621,17:00:00,25.74
20160621,18:00:00,28.02
20160621,19:00:00,30.19
20160621,20:00:00,31.61
20160621,21:00:00,32.72
20160621,22:00:00,33.24
20160621,23:00:00,31.05
20160622,0:00:00,28.47
20160622,1:00:00,27.46
20160622,2:00:00,26.97
20160622,3:00:00,26.84
20160622,4:00:00,26.79
20160622,5:00:00,26.33
20160622,6:00:00,25.5
20160622,7:00:00,24.7
20160622,8:00:00,24
20160622,9:00:00,23.45
20160622,10:00:00,22.99
20160622,11:00:00,22.59
20160622,12:00:00,22.3
20160622,13:00:00,22.18
20160622,14:00:00,22.97
20160622,15:00:00,22.78
20160622,16:00:00,23.35
20160622,17:00:00,25.72
20160622,18:00:00,28.1
20160622,19:00:00,30.27
20160622,20:00:00,31.61
20160622,21:00:00,32.36
20160622,22:00:00,32.9
20160622,23:00:00,30.24
20160623,0:00:00,28.37
20160623,1:00:00,27.73
20160623,2:00:00,27.06
20160623,3:00:00,26.65
20160623,4:00:00,26.4
20160623,5:00:00,26.16
20160623,6:00:00,25.48
20160623,7:00:00,24.48
20160623,8:00:00,23.71
20160623,9:00:00,23.06
20160623,10:00:00,22.51
20160623,11:00:00,22.18
20160623,12:00:00,21.82
20160623,13:00:00,21.7
20160623,14:00:00,21.96
20160623,15:00:00,23.02
20160623,16:00:00,23.93
20160623,17:00:00,26.23
20160623,18:00:00,28.39
20160623,19:00:00,30.14
20160623,20:00:00,31.38
20160623,21:00:00,32.36
20160623,22:00:00,32.87
20160623,23:00:00,32.12
20160624,0:00:00,29.09
20160624,1:00:00,28.17
20160624,2:00:00,27.38
20160624,3:00:00,26.77
20160624,4:00:00,26.48
20160624,5:00:00,26.35
20160624,6:00:00,25.62
20160624,7:00:00,24.58
20160624,8:00:00,23.98
20160624,9:00:00,23.42
20160624,10:00:00,22.87
20160624,11:00:00,22.27
20160624,12:00:00,21.75
20160624,13:00:00,21.37
20160624,14:00:00,21.41
20160624,15:00:00,22.99
20160624,16:00:00,24.44
20160624,17:00:00,26.52
20160624,18:00:00,28.62
20160624,19:00:00,30.47
20160624,20:00:00,31.79
20160624,21:00:00,32.95
20160624,22:00:00,33.52
20160624,23:00:00,33.21
20160625,0:00:00,30.44
20160625,1:00:00,29.44
20160625,2:00:00,28.44
20160625,3:00:00,27.11
20160625,4:00:00,26.62
20160625,5:00:00,26.38
20160625,6:00:00,26.3
20160625,7:00:00,25.55
20160625,8:00:00,24.68
20160625,9:00:00,23.86
20160625,10:00:00,23.23
20160625,11:00:00,22.71
20160625,12:00:00,22.25
20160625,13:00:00,21.96
20160625,14:00:00,22.03
20160625,15:00:00,23.02
20160625,16:00:00,24.9
20160625,17:00:00,26.74
20160625,18:00:00,28.77
20160625,19:00:00,30.75
20160625,20:00:00,32.15
20160625,21:00:00,32.82
20160625,22:00:00,32.82
20160625,23:00:00,32.43
20160626,0:00:00,31
20160626,1:00:00,28.94
20160626,2:00:00,28.84
20160626,3:00:00,27.48
20160626,4:00:00,26.65
20160626,5:00:00,26.23
20160626,6:00:00,26.04
20160626,7:00:00,25.89
20160626,8:00:00,25.23
20160626,9:00:00,24.46
20160626,10:00:00,23.81
20160626,11:00:00,23.23
20160626,12:00:00,22.82
20160626,13:00:00,22.47
20160626,14:00:00,22.39
20160626,15:00:00,23.06
20160626,16:00:00,24.63
20160626,17:00:00,26.87
20160626,18:00:00,29.14
20160626,19:00:00,30.93
20160626,20:00:00,32.38
20160626,21:00:00,32.87
20160626,22:00:00,32.82
20160626,23:00:00,32.33
20160627,0:00:00,31.41
20160627,1:00:00,29.44
20160627,2:00:00,28.92
20160627,3:00:00,28.15
20160627,4:00:00,26.3
20160627,5:00:00,25.67
20160627,6:00:00,25.45
20160627,7:00:00,25.38
20160627,8:00:00,25.14
20160627,9:00:00,24.44
20160627,10:00:00,23.69
20160627,11:00:00,23.09
20160627,12:00:00,22.63
20160627,13:00:00,22.32
20160627,14:00:00,22.39
20160627,15:00:00,23.23
20160627,16:00:00,24.58
20160627,17:00:00,27.28
20160627,18:00:00,30.34
20160627,19:00:00,31.66
20160627,20:00:00,32.77
20160627,21:00:00,33.57
20160627,22:00:00,33.5
20160627,23:00:00,32.72
20160628,0:00:00,31.77
20160628,1:00:00,30.27
20160628,2:00:00,29.02
20160628,3:00:00,28.69
20160628,4:00:00,27.11
20160628,5:00:00,25.89
20160628,6:00:00,25.4
20160628,7:00:00,25.16
20160628,8:00:00,25.04
20160628,9:00:00,24.46
20160628,10:00:00,23.91
20160628,11:00:00,23.28
20160628,12:00:00,22.82
20160628,13:00:00,22.54
20160628,14:00:00,22.54
20160628,15:00:00,23.33
20160628,16:00:00,24.97
20160628,17:00:00,28.02
20160628,18:00:00,30.29
20160628,19:00:00,32.05
20160628,20:00:00,33.55
20160628,21:00:00,34.41
20160628,22:00:00,34.15
20160628,23:00:00,33.57
20160629,0:00:00,32.67
20160629,1:00:00,31.56
20160629,2:00:00,30.19
20160629,3:00:00,29.59
20160629,4:00:00,29.24
20160629,5:00:00,27.33
20160629,6:00:00,26.13
20160629,7:00:00,25.65
20160629,8:00:00,25.55
20160629,9:00:00,24.97
20160629,10:00:00,24.29
20160629,11:00:00,23.76
20160629,12:00:00,23.35
20160629,13:00:00,23.04
20160629,14:00:00,23.09
20160629,15:00:00,23.71
20160629,16:00:00,25.4
20160629,17:00:00,27.65
20160629,18:00:00,29.34
20160629,19:00:00,31.03
20160629,20:00:00,32.1
20160629,21:00:00,32.36
20160629,22:00:00,32.18
20160629,23:00:00,31.69
20160630,0:00:00,30.87
20160630,1:00:00,29.67
20160630,2:00:00,28.59
20160630,3:00:00,27.58
20160630,4:00:00,26.74
20160630,5:00:00,26.3
20160630,6:00:00,27.21
20160630,7:00:00,26.72
20160630,8:00:00,25.89
20160630,9:00:00,25.09
20160630,10:00:00,24.03
20160630,11:00:00,23.38
20160630,12:00:00,23.02
20160630,13:00:00,22.85
20160630,14:00:00,23.14
20160630,15:00:00,23.79
20160630,16:00:00,24.8
20160630,17:00:00,26.89
20160630,18:00:00,29.09
20160630,19:00:00,31.41
20160630,20:00:00,32.33
20160630,21:00:00,33.18
20160630,22:00:00,33.99
20160630,23:00:00,33.55
,,32.69
,,31.41
,,29.89
,,28.67
,,27.83
,,26.99
,,26.38
,,25.72
,,25.38
,,24.8
,,24.29
,,23.83
,,23.35
,,23.09
,,23.04
,,23.62
,,25.33
,,27.95
,,29.94
,,32.15
,,32.9
,,33.03
,,33.5
,,33.94
,,32.98
,,31.74
,,30.39
,,29.02
,,28.17
,,27.53
,,26.92
,,26.5
,,26.43
,,25.87
,,25.26
,,24.34
,,24.12
,,23.42
,,23.33
,,24.48
,,26.35
,,28.67
,,30.87
,,32.2
,,30.44
,,28.67
,,27.73
,,27.43
,,27.36
,,27.43
,,27.24
,,27.09
,,26.92
,,26.79
,,26.5
,,25.96
,,25.38
,,25.57
,,24.94
,,24.92
,,24.03
,,23.45
,,23.26
,,24.34
,,26.4
,,28.15
,,29.97
,,31.69
,,32.92
,,31.08
,,28.59
,,27.28
,,27.19
,,26.94
,,26.82
,,26.67
,,26.52
,,26.45
,,26.38
,,26.06
,,25.55
,,24.97
,,24.41
,,24.58
,,24.58
,,24.97
,,23.5
,,24.24
,,26.13
,,27.68
,,29.44
,,31.23
,,33.05
,,30.14
,,28.12
,,27.41
,,26.84
,,26.74
,,26.62
,,26.67
,,26.62
,,26.52
,,26.43
,,26.4
,,26.21
,,25.87
,,25.11
,,25.38
,,25.7
,,26.21
,,25.87
,,25.31
,,26.23
,,28.15
,,29.49
,,31.48
,,32.64
,,33.24
,,29.87
,,28.69
,,27.26
,,27.19
,,26.84
,,26.77
,,26.97
,,26.89
,,26.74
,,26.28
,,25.6
,,24.97
,,24.46
,,24
,,25.07
,,26.04
,,24.9
,,24.63
,,25.84
,,27.36
,,28.77
,,30.27
,,32.25
,,33.16
,,33.26
,,32.25
,,28.3
,,27.48
,,27.09
,,26.89
,,26.77
,,26.92
,,26.74
,,26.21
,,25.57
,,25.07
,,24.48
,,23.95
,,23.45
,,23.35
,,24.48
,,24.03
,,25.36
,,27.46
,,29.49
,,30.67
,,31.54
,,32.48
,,32.92
,,31.1
,,29.99
,,27.92
,,27.46
,,27.11
,,26.89
,,26.82
,,26.79
,,26.35
,,25.53
,,24.87
,,24.29
,,23.93
,,23.62
,,23.4
,,25.77
,,26.01
,,26.33
,,28.27
,,30.02
,,31.69
,,32.87
,,33.65
,,33.81
,,32.2
,,29.89
,,29.49
,,27.78
,,26.82
,,26.26
,,26.18
,,26.01
,,26.04
,,25.55
,,24.87
,,23.93
,,23.33
,,23.04
,,23.09
,,23.14
,,25.04
,,25.26
,,26.65
,,28.22
,,30.37
,,31.59
,,32.28
,,32.61
,,31.69
,,29.89
,,28.84
,,28.15
,,26.48
,,26.04
,,25.72
,,25.6
,,25.57
,,25.38
,,24.82
,,24.17
,,23.64
,,23.09
,,22.97
,,23.02
,,23.91
,,24.82
,,25.91
,,28.1
,,30.55
,,31.69
,,32.41
,,32.9
,,32.41
,,31.71
,,29.67
,,28.62
,,28.97
,,26.33
,,25.67
,,25.48
,,25.5
,,25.5
,,25.16
,,24.53
,,23.88
,,23.47
,,23.11
,,23.02
,,23.42
,,24.94
,,26.48
,,28.92
,,30.85
,,32.25
,,32.05
,,32.77
,,32.36
,,31.51
,,30.22
,,28.82
,,28.39
,,28.1
,,26.89
,,26.18
,,25.89
,,25.82
,,25.28
,,24.2
,,23.5
,,23.14
,,22.8
,,22.71
,,22.78
,,23.14
,,24.46
,,26.01
,,28.79
,,30.62
,,31.41
,,31.71
,,31.46
