yyyymmdd,Hr:Min:Sec,F45B
20160605,0:00:00,18.0307
20160605,1:00:00,17.3588
20160605,2:00:00,17.2972
20160605,3:00:00,16.8946
20160605,4:00:00,16.4439
20160605,5:00:00,16.0104
20160605,6:00:00,16.5556
20160605,7:00:00,18.7419
20160605,8:00:00,16.777
20160605,9:00:00,20.7683
20160605,10:00:00,23.0797
20160605,11:00:00,22.9423
20160605,12:00:00,22.9597
20160605,13:00:00,23.0518
20160605,14:00:00,23.2337
20160605,15:00:00,23.2149
20160605,16:00:00,23.2224
20160605,17:00:00,23.0865
20160605,18:00:00,22.2096
20160605,19:00:00,20.7153
20160605,20:00:00,19.3167
20160605,21:00:00,18.0756
20160605,22:00:00,17.0271
20160605,23:00:00,16.4703
20160606,0:00:00,15.845
20160606,1:00:00,15.491
20160606,2:00:00,15.184
20160606,3:00:00,14.9177
20160606,4:00:00,14.9948
20160606,5:00:00,14.5704
20160606,6:00:00,14.5248
20160606,7:00:00,16.123
20160606,8:00:00,14.295
20160606,9:00:00,15.6633
20160606,10:00:00,16.7922
20160606,11:00:00,19.491
20160606,12:00:00,21.1753
20160606,13:00:00,21.6515
20160606,14:00:00,21.6695
20160606,15:00:00,22.5535
20160606,16:00:00,22.2896
20160606,17:00:00,21.6178
20160606,18:00:00,19.9405
20160606,19:00:00,18.1047
20160606,20:00:00,17.0604
20160606,21:00:00,16.0404
20160606,22:00:00,15.3459
20160606,23:00:00,14.594
20160607,0:00:00,14.0476
20160607,1:00:00,13.5208
20160607,2:00:00,13.3619
20160607,3:00:00,13.9312
20160607,4:00:00,14.0726
20160607,5:00:00,15.5682
20160607,6:00:00,15.7127
20160607,7:00:00,15.5628
20160607,8:00:00,15.9544
20160607,9:00:00,17.4719
20160607,10:00:00,19.1772
20160607,11:00:00,21.077
20160607,12:00:00,21.9888
20160607,13:00:00,22.482
20160607,14:00:00,22.5199
20160607,15:00:00,22.3126
20160607,16:00:00,22.2099
20160607,17:00:00,21.7332
20160607,18:00:00,20.6101
20160607,19:00:00,18.5437
20160607,20:00:00,17.4653
20160607,21:00:00,16.4839
20160607,22:00:00,14.9599
20160607,23:00:00,14.0921
20160608,0:00:00,13.5369
20160608,1:00:00,13.3454
20160608,2:00:00,12.9747
20160608,3:00:00,12.689
