"","Node","Species","Life_Stage","position","Scenario","sp_code","Check_Class"
"1","GLEN","Cladophora","Adult","LOB",1,"Cladophora_Adult","Low"
"2","GLEN","SAS","Adult","LOB",1,"SAS_Adult","Partial"
"3","GLEN","SAS","fry","LOB",1,"SAS_fry","Low"
"4","GLEN","SAS","juvenile","LOB",1,"SAS_juvenile","High"
"5","GLEN","Steelhead","Migration","LOB",1,"Steelhead_Migration","Low"
"6","GLEN","Steelhead","Prolonged","LOB",1,"Steelhead_Prolonged","Low"
"7","GLEN","Steelhead","Smolts","LOB",1,"Steelhead_Smolts","High"
"8","GLEN","Typha","Adult","LOB",1,"Typha_Adult","Partial"
"9","GLEN","Typha","Seedling","LOB",1,"Typha_Seedling","Partial"
"10","GLEN","Willow","Germination","LOB",1,"Willow_Germination","Low"
"11","F319","Cladophora","Adult","MC",1,"Cladophora_Adult","Low"
"12","F319","SAS","Adult","MC",1,"SAS_Adult","High"
"13","F319","SAS","fry","MC",1,"SAS_fry","Low"
"14","F319","SAS","juvenile","MC",1,"SAS_juvenile","High"
"15","F319","Steelhead","Migration","MC",1,"Steelhead_Migration","Low"
"16","F319","Steelhead","Prolonged","MC",1,"Steelhead_Prolonged","Low"
"17","F319","Steelhead","Smolts","MC",1,"Steelhead_Smolts","High"
"18","F319","Typha","Adult","MC",1,"Typha_Adult","Partial"
"19","F319","Typha","Seedling","MC",1,"Typha_Seedling","Low"
"20","F319","Willow","Germination","MC",1,"Willow_Germination","Low"
"21","GLEN","Cladophora","Adult","MC",1,"Cladophora_Adult","Low"
"22","GLEN","SAS","Adult","MC",1,"SAS_Adult","Partial"
"23","GLEN","SAS","fry","MC",1,"SAS_fry","Low"
"24","GLEN","SAS","juvenile","MC",1,"SAS_juvenile","Partial"
"25","GLEN","Steelhead","Migration","MC",1,"Steelhead_Migration","Low"
"26","GLEN","Steelhead","Prolonged","MC",1,"Steelhead_Prolonged","Low"
"27","GLEN","Steelhead","Smolts","MC",1,"Steelhead_Smolts","Low"
"28","GLEN","Typha","Adult","MC",1,"Typha_Adult","Low"
