"","Node","sp_code","Check_Class2","TimePeriod"
"1","F300","Willow_Adult","Low","critical"
"2","F319","Willow_Adult","Low","critical"
"3","F34D","Willow_Adult","Low","critical"
"4","F37BHigh","Willow_Adult","Low","critical"
"5","F37BLow","Willow_Adult","Low","critical"
"6","F45B","Willow_Adult","Low","critical"
"7","F57C","Willow_Adult","Low","critical"
"8","GLEN","Willow_Adult","Low","critical"
"9","LA1","Willow_Adult","Low","critical"
"10","LA11","Willow_Adult","Low","critical"
"11","LA13","Willow_Adult","Low","critical"
"12","LA14","Willow_Adult","Low","critical"
"13","LA2","Willow_Adult","Low","critical"
"14","LA201","Willow_Adult","Low","critical"
"15","LA202","Willow_Adult","Low","critical"
"16","LA3","Willow_Adult","Low","critical"
"17","LA8","Willow_Adult","Low","critical"
"18","N11101250","Willow_Adult","Low","critical"
"19","F300","Steelhead_Smolt","Low","critical"
"20","F319","Steelhead_Smolt","Low","critical"
"21","F34D","Steelhead_Smolt","Low","critical"
"22","F37BHigh","Steelhead_Smolt","Low","critical"
"23","F37BLow","Steelhead_Smolt","Low","critical"
"24","F45B","Steelhead_Smolt","Low","critical"
"25","F57C","Steelhead_Smolt","High","critical"
"26","GLEN","Steelhead_Smolt","High","critical"
"27","LA1","Steelhead_Smolt","Low","critical"
"28","LA11","Steelhead_Smolt","Low","critical"
"29","LA13","Steelhead_Smolt","Low","critical"
"30","LA14","Steelhead_Smolt","Low","critical"
"31","LA2","Steelhead_Smolt","High","critical"
"32","LA201","Steelhead_Smolt","Low","critical"
"33","LA202","Steelhead_Smolt","Low","critical"
"34","LA3","Steelhead_Smolt","High","critical"
"35","LA8","Steelhead_Smolt","Low","critical"
"36","N11101250","Steelhead_Smolt","Low","critical"
"37","F300","Cladophora_N/A","High","critical"
"38","F319","Cladophora_N/A","High","critical"
"39","F34D","Cladophora_N/A","High","critical"
"40","F37BHigh","Cladophora_N/A","High","critical"
"41","F37BLow","Cladophora_N/A","High","critical"
"42","F45B","Cladophora_N/A","High","critical"
"43","F57C","Cladophora_N/A","High","critical"
"44","GLEN","Cladophora_N/A","High","critical"
"45","LA1","Cladophora_N/A","High","critical"
"46","LA11","Cladophora_N/A","High","critical"
"47","LA13","Cladophora_N/A","High","critical"
"48","LA14","Cladophora_N/A","High","critical"
"49","LA2","Cladophora_N/A","High","critical"
"50","LA201","Cladophora_N/A","High","critical"
"51","LA202","Cladophora_N/A","High","critical"
"52","LA3","Cladophora_N/A","High","critical"
"53","LA8","Cladophora_N/A","High","critical"
"54","N11101250","Cladophora_N/A","High","critical"
"55","F300","Santa Ana Sucker_Fry","Low","critical"
"56","F319","Santa Ana Sucker_Fry","Low","critical"
"57","F34D","Santa Ana Sucker_Fry","Low","critical"
"58","F37BHigh","Santa Ana Sucker_Fry","Low","critical"
"59","F37BLow","Santa Ana Sucker_Fry","Low","critical"
"60","F45B","Santa Ana Sucker_Fry","Low","critical"
"61","F57C","Santa Ana Sucker_Fry","Low","critical"
"62","GLEN","Santa Ana Sucker_Fry","Low","critical"
"63","LA1","Santa Ana Sucker_Fry","Low","critical"
"64","LA11","Santa Ana Sucker_Fry","Low","critical"
"65","LA13","Santa Ana Sucker_Fry","Low","critical"
"66","LA14","Santa Ana Sucker_Fry","Low","critical"
"67","LA2","Santa Ana Sucker_Fry","Low","critical"
"68","LA201","Santa Ana Sucker_Fry","Low","critical"
"69","LA202","Santa Ana Sucker_Fry","Low","critical"
"70","LA3","Santa Ana Sucker_Fry","Low","critical"
"71","LA8","Santa Ana Sucker_Fry","Low","critical"
"72","N11101250","Santa Ana Sucker_Fry","Low","critical"
"73","F300","Willow_Germination","Low","critical"
"74","F319","Willow_Germination","Low","critical"
"75","F34D","Willow_Germination","Low","critical"
"76","F37BHigh","Willow_Germination","Low","critical"
"77","F37BLow","Willow_Germination","Low","critical"
"78","F45B","Willow_Germination","Low","critical"
"79","F57C","Willow_Germination","Low","critical"
"80","GLEN","Willow_Germination","High","critical"
"81","LA1","Willow_Germination","Low","critical"
"82","LA11","Willow_Germination","Low","critical"
"83","LA13","Willow_Germination","Low","critical"
"84","LA14","Willow_Germination","Low","critical"
"85","LA2","Willow_Germination","Low","critical"
"86","LA201","Willow_Germination","Low","critical"
"87","LA202","Willow_Germination","Low","critical"
"88","LA3","Willow_Germination","Low","critical"
"89","LA8","Willow_Germination","Low","critical"
"90","N11101250","Willow_Germination","Low","critical"
"91","F300","Steelhead_Migration","High","critical"
"92","F319","Steelhead_Migration","Low","critical"
"93","F34D","Steelhead_Migration","Low","critical"
"94","F37BHigh","Steelhead_Migration","Low","critical"
"95","F37BLow","Steelhead_Migration","Low","critical"
"96","F45B","Steelhead_Migration","Low","critical"
"97","F57C","Steelhead_Migration","Low","critical"
"98","GLEN","Steelhead_Migration","Low","critical"
"99","LA1","Steelhead_Migration","Low","critical"
"100","LA11","Steelhead_Migration","Low","critical"
"101","LA13","Steelhead_Migration","Low","critical"
"102","LA14","Steelhead_Migration","Low","critical"
"103","LA2","Steelhead_Migration","High","critical"
"104","LA201","Steelhead_Migration","Low","critical"
"105","LA202","Steelhead_Migration","Low","critical"
"106","LA3","Steelhead_Migration","High","critical"
"107","LA8","Steelhead_Migration","High","critical"
"108","N11101250","Steelhead_Migration","Low","critical"
"109","F45B","Willow_Seedling","Low","critical"
"110","F57C","Willow_Seedling","Low","critical"
"111","GLEN","Willow_Seedling","Low","critical"
"112","LA11","Willow_Seedling","Low","critical"
"113","LA14","Willow_Seedling","Low","critical"
"114","LA2","Willow_Seedling","Low","critical"
"115","LA3","Willow_Seedling","Low","critical"
"116","LA8","Willow_Seedling","Low","critical"
"117","N11101250","Willow_Seedling","Low","critical"
