"","Depth","SGR_N","SGR_perc","MWD_N","MWD_perc"
"1","<0.10",1,0.2,1,0.6
"2","0.10-0.19",25,4.7,58,36.9
"3","0.20-0.29",129,24.3,64,40.8
"4","0.30-0.39",127,23.9,31,19.8
"5","0.40-0.49",144,27.1,2,1.3
"6","0.50-0.59",56,10.5,0,0
"7","0.60-0.69",35,6.6,1,0.6
"8",">0.70",15,2.8,0,0
