"","Vel_fish","Vel_0.6","Abundance","Dataset"
"1",0.16,0.24,1,"Wulff"
"2",0.58,0.82,3,"Wulff"
"3",0.24,0.42,1,"Wulff"
"4",0.21,0.32,1,"Wulff"
"5",0.15,0.47,1,"Wulff"
"6",0.46,0.59,1,"Wulff"
"7",0.42,0.55,1,"Wulff"
"8",0.32,0.27,1,"Wulff"
"9",0.26,0.65,1,"Wulff"
"10",0.13,0.38,1,"Wulff"
"11",0.09,0.31,1,"Wulff"
"12",0.18,0.5,1,"Wulff"
"13",0.11,0.5,2,"Wulff"
"14",0.11,0.5,2,"Wulff"
"15",0.11,0.5,1,"Wulff"
"16",0.55,0.65,2,"Wulff"
"17",0.28,0.35,1,"Wulff"
"18",0.05,0.19,5,"Wulff"
"19",0.32,0.52,2,"Wulff"
"20",0.17,0.35,2,"Wulff"
"21",0.15,0.35,1,"Wulff"
"22",0.26,0.52,1,"Wulff"
"23",0.22,0.55,1,"Wulff"
"24",0.16,0.97,1,"Wulff"
"25",0.6,0.37,8,"Wulff"
"26",0.61,0.55,1,"Wulff"
"27",0.4,0.44,3,"Wulff"
"28",0.19,0.6,1,"Wulff"
"29",0.19,0.6,3,"Wulff"
"30",-0.03,0.18,1,"Wulff"
"31",0.76,1.31,1,"Wulff"
"32",0.76,1.31,1,"Wulff"
"33",0.32,1.11,2,"Wulff"
"34",0.32,1.11,1,"Wulff"
"35",0.9,1.41,1,"Wulff"
"36",0.36,1.13,1,"Wulff"
"37",-0.09,NA,10,"Wulff"
"38",0.67,1.07,1,"Wulff"
"39",0.43,0.63,3,"Wulff"
"40",0.6,0.66,3,"Wulff"
"41",0.37,0.88,5,"Wulff"
"42",0.26,0.57,5,"Wulff"
"43",0.3,0.86,5,"Wulff"
"44",0.33,0.88,4,"Wulff"
"45",0.33,0.88,1,"Wulff"
"46",-0.02,0.96,1,"Wulff"
"47",0.06,0.89,2,"Wulff"
"48",0.06,0.89,4,"Wulff"
"49",-0.02,0.98,3,"Wulff"
"50",0.34,0.61,1,"Wulff"
"51",0.34,0.71,20,"Wulff"
"52",0.46,0.71,1,"Wulff"
"53",0.33,0.54,1,"Wulff"
"54",0.26,0.54,2,"Wulff"
"55",0.26,0.54,8,"Wulff"
"56",-0.01,0.81,2,"Wulff"
"57",-0.07,0.99,3,"Wulff"
"58",0.71,0.94,3,"Wulff"
"59",0.71,0.94,3,"Wulff"
"60",0.26,0.94,3,"Wulff"
"61",-0.05,0.77,2,"Wulff"
"62",0.02,0.36,1,"Wulff"
"63",0.42,0.88,1,"Wulff"
"64",0.62,0.86,3,"Wulff"
"65",0.68,0.78,5,"Wulff"
"66",0.75,0.8,5,"Wulff"
"67",0.27,0.85,5,"Wulff"
"68",0.27,0.85,5,"Wulff"
"69",0.38,0.8,5,"Wulff"
"70",0.38,0.8,5,"Wulff"
"71",0.33,0.65,5,"Wulff"
"72",0.58,0.62,3,"Wulff"
"73",0.02,0.49,3,"Wulff"
"74",0.37,0.61,3,"Wulff"
