"","substrate..","M_Blvd","Highway_60","Riverside_Dr","all_sites"
"1","silt",0,0,0,0
"2","silt_sand",38.9,0,0,15.3
"3","sand",38.9,10.8,0,20.4
"4","sand_gravel",5.6,78.5,83.3,50.4
"5","gravel",0,0,16.7,2.2
"6","sand_cobble",0,0,0,0
"7","gravel_cobble",0,10.8,0,5.1
"8","cobble",0,0,0,0
"9","boulder",0,0,0,6.6
"10","abundance",54,65,18,137
