"","Date","Condition","Site","Time","Replicate..","Fish..","SL..mm.","TL..mm.","Weight..g.","Sex","Life.Stage","Spawning..Y.N.","Temp...C.","Depth..m.","Current..m.sec."
"1","8-Mar-99","OK","MWDA",1300,3,11,90,108,15,"BT","1+ adult","Y",21.45,0.34,0.505206
"2","8-Mar-99","OK","MWDA",1610,5,19,115,135,30,"BT","1+ adult","Y",20.7,0.29,0.4941824
"3","9-Mar-99","OK","MWDB",1125,2,12,94,118,15,"BT","1+ adult","Y",18.19,0.22,0.4379976
"4","9-Mar-99","OK","MWDB",1615,5,29,85,98,10.5,"BT","1+ adult","Y",18.69,0.26,0.0503936
"5","17-Jun-99","OK","SGRA",1118,2,7,144,169,65.5,"NU","2+ adult","Y",19.02,0.59,0.1500632
"6","17-Jun-99","OK","SGRA",1322,3,8,134,157,51,"BT","2+ adult","Y",22.26,0.62,0.338328
"7","17-Jun-99","FE","SGRA",1637,5,17,126,145,40,"BT","2+ adult","Y",22.09,0.23,0.5162296
"8","17-Jun-99","OK","SGRA",1750,6,21,132,154,42,"BT","2+ adult","Y",20.81,0.24,0.061468
"9","17-Jun-99","PH","SGRA",1820,6,26,145,160,56,"BT","2+ adult","Y",20.76,0.29,0.1500632
"10","17-Jun-99","OK","SGRA",1825,6,23,139,152,43,"BT","2+ adult","Y",20.76,0.28,0.172212
"11","17-Jun-99","OK","SGRA",1830,6,24,145,160,51,"BT","2+ adult","Y",20.62,0.32,0.1500632
"12","12-Mar-99","OK","SGRB",1300,3,16,133,156,50,"BT","2+ adult","Y",12.44,0.46,NA
"13","12-Mar-99","OK","SGRB",935,1,6,132,153,48,"BT","2+ adult","Y",8.77,NA,NA
"14","18-Jun-99","PH","SGRB",1358,3,23,145,168,59,"BT","2+ adult","Y",23.13,NA,NA
"15","18-Jun-99","PW","SGRB",1630,4,35,148,155,45,"BT","2+ adult","Y",22.54,NA,NA
