"","LOB","MC","ROB"
"Low_Prob_1",22.9843254089355,22.9843254089355,22.9843254089355
"Low_Prob_2",40590.86328125,40590.86328125,40590.86328125
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",123.528723856527,655.017950249084,217.477022331403
"Med_Prob_2",927.17424532868,2661.88796685587,1495.94108406641
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",213.863716365094,971.551063703732,369.994040351501
"High_Prob_2",731.421115413443,2269.59433155395,1196.56786068516
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
