"","Location","Section","Date","Species","Count","length_mm","Depth_cm","site_code"
"1","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",1,100,41,"RIX to Middle Channel_3_"
"2","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",3,100,57,"RIX to Middle Channel_3_"
"3","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",1,120,62,"RIX to Middle Channel_3_"
"4","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",2,100,36,"RIX to Middle Channel_3_"
"5","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",3,110,44,"RIX to Middle Channel_3_"
"6","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",2,110,54,"RIX to Middle Channel_3_"
"7","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",2,100,44,"RIX to Middle Channel_3_"
"8","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,120,98,"RIX to Middle Channel_3_"
"9","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,120,36,"RIX to Middle Channel_3_"
"10","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,130,36,"RIX to Middle Channel_3_"
"11","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,110,56,"RIX to Middle Channel_3_"
"12","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,150,84,"RIX to Middle Channel_3_"
"13","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,150,86,"RIX to Middle Channel_3_"
"14","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,52,"Middle Channel to Riverside Drive_4_"
"15","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",2,110,38,"Middle Channel to Riverside Drive_4_"
"16","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,110,62,"Middle Channel to Riverside Drive_4_"
"17","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,130,55,"Middle Channel to Riverside Drive_4_"
"18","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",2,120,106,"Middle Channel to Riverside Drive_4_"
"19","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",2,120,106,"Middle Channel to Riverside Drive_4_"
"20","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,40,"Middle Channel to Riverside Drive_4_"
"21","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,110,57,"Middle Channel to Riverside Drive_4_"
"22","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,140,34,"Middle Channel to Riverside Drive_4_"
"23","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,130,48,"Middle Channel to Riverside Drive_4_"
"24","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,48,"Middle Channel to Riverside Drive_4_"
"25","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,120,44,"Middle Channel to Riverside Drive_4_"
"26","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,56,"Middle Channel to Riverside Drive_4_"
