"","substrate..","M_Blvd","Highway_60","Riverside_Dr","all_sites"
"1","silt",0,0,0,0
"2","silt_sand",0,0,0,0
"3","sand",35.7,40,0,21.2
"4","sand_gravel",35.7,25,54.1,41.2
"5","gravel",10.7,35,45.9,31.8
"6","sand_cobble",0,0,0,0
"7","gravel_cobble",0,0,0,0
"8","cobble",0,0,0,0
"9","boulder",17.9,0,0,5.9
"10","abundance",28,20,37,85
