"","Location","Section","Starting.Latitude","Starting.Longitude","Ending.Latitude","Ending.Longitude","Date","Species","Count","Depth_cm","coord_code_s","site_code"
"1","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,30,"34.03299_-117.3561","Crossover Channel_4"
"2","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,30,"34.03299_-117.3561","Crossover Channel_4"
"7","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,24,"34.03299_-117.3561","Crossover Channel_4"
"9","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,32,"34.03299_-117.3561","Crossover Channel_4"
"10","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,32,"34.03299_-117.3561","Crossover Channel_4"
"11","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,34,"34.03299_-117.3561","Crossover Channel_4"
"12","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",2,34,"34.03299_-117.3561","Crossover Channel_4"
"15","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,25,"34.03299_-117.3561","Crossover Channel_4"
"16","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,34,"34.03299_-117.3561","Crossover Channel_4"
"17","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",4,25,"34.03299_-117.3561","Crossover Channel_4"
"18","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",3,32,"34.03299_-117.3561","Crossover Channel_4"
"20","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,50,"34.03299_-117.3561","Crossover Channel_4"
"21","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,54,"34.03299_-117.3561","Crossover Channel_4"
"22","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",4,54,"34.03299_-117.3561","Crossover Channel_4"
"23","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,26,"34.03299_-117.3561","Crossover Channel_4"
"24","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,36,"34.03299_-117.3561","Crossover Channel_4"
"27","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,4,"34.03299_-117.3561","Crossover Channel_4"
"28","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",4,4,"34.03299_-117.3561","Crossover Channel_4"
"29","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",2,29,"34.03299_-117.3561","Crossover Channel_4"
"30","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,29,"34.03299_-117.3561","Crossover Channel_4"
"31","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,28,"34.03299_-117.3561","Crossover Channel_4"
"32","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,32,"34.03299_-117.3561","Crossover Channel_4"
"34","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",3,36,"34.03299_-117.3561","Crossover Channel_4"
"35","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",4,35,"34.03493_-117.35665","Crossover Channel_4"
"36","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",2,25,"34.03493_-117.35665","Crossover Channel_4"
"38","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,39,"34.03493_-117.35665","Crossover Channel_4"
"39","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,39,"34.03493_-117.35665","Crossover Channel_4"
"40","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",10,48,"34.03493_-117.35665","Crossover Channel_4"
"41","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",10,48,"34.03493_-117.35665","Crossover Channel_4"
"43","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",10,35,"34.03493_-117.35665","Crossover Channel_4"
"46","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",2,40,"34.03493_-117.35665","Crossover Channel_4"
"47","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,40,"34.03493_-117.35665","Crossover Channel_4"
"48","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,40,"34.03493_-117.35665","Crossover Channel_4"
"50","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,102,"34.03493_-117.35665","Crossover Channel_4"
"51","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,102,"34.03493_-117.35665","Crossover Channel_4"
"54","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,38,"34.03493_-117.35665","Crossover Channel_4"
"55","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,38,"34.03493_-117.35665","Crossover Channel_4"
"56","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",1,51,"34.03493_-117.35665","Crossover Channel_4"
"59","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,33,"34.03493_-117.35665","Crossover Channel_4"
"63","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,46,"34.03493_-117.35665","Crossover Channel_4"
"66","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",1,36,"34.03493_-117.35665","Crossover Channel_4"
"68","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,48,"34.03493_-117.35665","Crossover Channel_4"
"69","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,48,"34.03493_-117.35665","Crossover Channel_4"
"70","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,48,"34.03493_-117.35665","Crossover Channel_4"
"71","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,48,"34.03493_-117.35665","Crossover Channel_4"
"76","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",1,52,"34.03493_-117.35665","Crossover Channel_4"
"77","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",2,52,"34.03493_-117.35665","Crossover Channel_4"
"78","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,52,"34.03493_-117.35665","Crossover Channel_4"
"84","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",10,67,"34.03493_-117.35665","Crossover Channel_4"
"89","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,60,"34.03493_-117.35665","Crossover Channel_4"
"90","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,60,"34.03493_-117.35665","Crossover Channel_4"
"92","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,53,"34.03493_-117.35665","Crossover Channel_4"
"93","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,53,"34.03493_-117.35665","Crossover Channel_4"
"96","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,32,"34.03493_-117.35665","Crossover Channel_4"
"97","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",2,32,"34.03493_-117.35665","Crossover Channel_4"
"98","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,37,"34.03493_-117.35665","Crossover Channel_4"
