"","month","water_year","position","days_per_month"
"1",1,2010,"LOB",28
"2",1,2010,"MC",28
"3",1,2010,"ROB",28
"4",1,2011,"LOB",29
"5",1,2011,"MC",29
"6",1,2011,"ROB",29
"7",1,2012,"LOB",28
"8",1,2012,"MC",25
"9",1,2012,"ROB",28
"10",1,2013,"LOB",31
"11",1,2013,"MC",31
"12",1,2013,"ROB",31
"13",1,2014,"LOB",28
"14",1,2014,"MC",26
"15",1,2014,"ROB",28
"16",1,2015,"LOB",26
"17",1,2015,"MC",26
"18",1,2015,"ROB",26
"19",1,2016,"LOB",20
"20",1,2016,"MC",16
"21",1,2016,"ROB",20
"22",2,2010,"LOB",22
"23",2,2010,"MC",21
"24",2,2010,"ROB",22
"25",2,2011,"LOB",29
"26",2,2011,"MC",28
"27",2,2011,"ROB",29
"28",2,2012,"LOB",26
"29",2,2012,"MC",25
"30",2,2012,"ROB",26
"31",2,2013,"LOB",24
"32",2,2013,"MC",23
"33",2,2013,"ROB",24
"34",2,2014,"LOB",25
"35",2,2014,"MC",25
"36",2,2014,"ROB",25
"37",2,2015,"LOB",27
"38",2,2015,"MC",27
"39",2,2015,"ROB",27
"40",2,2016,"LOB",18
"41",2,2016,"MC",16
"42",2,2016,"ROB",18
"43",3,2010,"LOB",22
"44",3,2010,"MC",16
"45",3,2010,"ROB",22
"46",3,2011,"LOB",26
"47",3,2011,"MC",26
"48",3,2011,"ROB",26
"49",3,2012,"LOB",29
"50",3,2012,"MC",29
"51",3,2012,"ROB",29
"52",3,2013,"LOB",30
"53",3,2013,"MC",29
"54",3,2013,"ROB",30
"55",3,2014,"LOB",29
"56",3,2014,"MC",28
"57",3,2014,"ROB",29
"58",3,2015,"LOB",28
"59",3,2015,"MC",25
"60",3,2015,"ROB",28
"61",3,2016,"LOB",30
"62",3,2016,"MC",28
"63",3,2016,"ROB",30
"64",4,2010,"LOB",30
"65",4,2010,"MC",30
"66",4,2010,"ROB",30
"67",4,2011,"LOB",26
"68",4,2011,"MC",24
"69",4,2011,"ROB",26
"70",4,2012,"LOB",30
"71",4,2012,"MC",30
"72",4,2012,"ROB",30
"73",4,2013,"LOB",28
"74",4,2013,"MC",28
"75",4,2013,"ROB",28
"76",4,2014,"LOB",29
"77",4,2014,"MC",28
"78",4,2014,"ROB",29
"79",4,2015,"LOB",27
"80",4,2015,"MC",27
"81",4,2015,"ROB",27
"82",4,2016,"LOB",29
"83",4,2016,"MC",29
"84",4,2016,"ROB",29
"85",5,2010,"LOB",29
"86",5,2010,"MC",28
"87",5,2010,"ROB",29
"88",5,2011,"LOB",31
"89",5,2011,"MC",31
"90",5,2011,"ROB",31
"91",5,2012,"LOB",29
"92",5,2012,"MC",29
"93",5,2012,"ROB",29
"94",5,2013,"LOB",31
"95",5,2013,"MC",31
"96",5,2013,"ROB",31
"97",5,2014,"LOB",30
"98",5,2014,"MC",28
"99",5,2014,"ROB",30
"100",5,2015,"LOB",30
"101",5,2015,"MC",29
"102",5,2015,"ROB",30
"103",5,2016,"LOB",30
"104",5,2016,"MC",30
"105",5,2016,"ROB",30
"106",6,2010,"LOB",30
"107",6,2010,"MC",30
"108",6,2010,"ROB",30
"109",6,2011,"LOB",30
"110",6,2011,"MC",30
"111",6,2011,"ROB",30
"112",6,2012,"LOB",30
"113",6,2012,"MC",30
"114",6,2012,"ROB",30
"115",6,2013,"LOB",30
"116",6,2013,"MC",30
"117",6,2013,"ROB",30
"118",6,2014,"LOB",30
"119",6,2014,"MC",30
"120",6,2014,"ROB",30
"121",6,2015,"LOB",30
"122",6,2015,"MC",30
"123",6,2015,"ROB",30
"124",6,2016,"LOB",30
"125",6,2016,"MC",30
"126",6,2016,"ROB",30
