"","Depth","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab"
"1","0-5 ",0,0,0,0,0
"2","06-10",0,0,0,0,0
"3","11-15",0,0,0,0,0
"4","16-20 ",0,0,0,0,0
"5","21-25 ",0,0,0,0,0
"6","26-30 ",0,0,0,0,0
"7","31-35 ",0,10.6,3,0,5
"8","36-40 ",13.8,4.3,4,4,2
"9","41-45 ",0,8.5,2,0,4
"10","46-50 ",3.4,0,1,1,0
"11","51-55 ",58.6,2.1,11,17,1
"12","56-60 ",6.1,14.9,9,2,7
"13","61-65 ",0,6.4,2,0,3
"14","66-70 ",0,0,0,0,0
"15","71+",0,53.2,15,0,25
"16","abundance",29,47,36,8,22
