"","Location","Section","Date","Species","Count","length_mm","Velocity_at_fish_ms","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","site_code"
"1","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",1,100,0.41,0.63,NA,NA,"RIX to Middle Channel_3_"
"2","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",3,100,0.04,0.58,NA,NA,"RIX to Middle Channel_3_"
"3","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",1,120,0.24,0.67,NA,NA,"RIX to Middle Channel_3_"
"4","RIX to Middle Channel",3,"9/22/2017","Santa Ana Sucker",2,100,0.53,0.9,NA,NA,"RIX to Middle Channel_3_"
"5","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",3,110,0.46,0.73,NA,NA,"RIX to Middle Channel_3_"
"6","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",2,110,0.41,0.63,NA,NA,"RIX to Middle Channel_3_"
"7","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",2,100,0.07,0.25,NA,NA,"RIX to Middle Channel_3_"
"8","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,120,0.1,NA,0.54,1.02,"RIX to Middle Channel_3_"
"9","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,120,0.35,0.8,NA,NA,"RIX to Middle Channel_3_"
"10","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,130,0.35,0.8,NA,NA,"RIX to Middle Channel_3_"
"11","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,110,0.54,0.97,NA,NA,"RIX to Middle Channel_3_"
"12","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,150,0.64,NA,0.55,0.61,"RIX to Middle Channel_3_"
"13","RIX to Middle Channel",3,"9/23/2017","Santa Ana Sucker",1,150,-0.01,NA,0.14,0.96,"RIX to Middle Channel_3_"
"14","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,0.64,0.89,NA,NA,"Middle Channel to Riverside Drive_4_"
"15","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",2,110,0.57,1.16,NA,NA,"Middle Channel to Riverside Drive_4_"
"16","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,110,0.41,0.71,NA,NA,"Middle Channel to Riverside Drive_4_"
"17","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,130,0.1,0.34,NA,NA,"Middle Channel to Riverside Drive_4_"
"18","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",2,120,0.05,NA,0.8,0.45,"Middle Channel to Riverside Drive_4_"
"19","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",2,120,0.05,NA,0.8,0.45,"Middle Channel to Riverside Drive_4_"
"20","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,0.51,0.84,NA,NA,"Middle Channel to Riverside Drive_4_"
"21","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,110,0.48,0.9,NA,NA,"Middle Channel to Riverside Drive_4_"
"22","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,140,0.43,1.08,NA,NA,"Middle Channel to Riverside Drive_4_"
