"","LOB","MC","ROB"
"Low_Prob_1",26.2292575836182,26.2292575836182,26.2292575836182
"Low_Prob_2",41750.16796875,41750.16796875,41750.16796875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",204.184776885106,209.002988358612,1780.4840746652
"Med_Prob_2",1459.03582358964,1362.08135333451,5109.26868942195
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",350.145538847839,351.570828868728,2362.12370169721
"High_Prob_2",1160.32377027698,1098.5189721632,4500.32677589331
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
