"","LOB","MC","ROB"
"Low_Prob_1",24.5054531097412,24.5054531097412,24.5054531097412
"Low_Prob_2",40888.7421875,40888.7421875,40888.7421875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",905.334816424876,207.573611470889,1612.2890435088
"Med_Prob_2",2622.5735909777,1394.62998232225,4870.03549320839
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",1140.86707558817,351.430372208783,2173.91484059915
"High_Prob_2",2240.92395527179,1119.60066647165,4268.03301961377
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
