"","LOB","MC","ROB"
"Low_Prob_1",1541.11832778392,7488.50447943586,1298.88759537648
"Low_Prob_2",NA,NA,NA
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",1012.76912685339,97.853924043173,52.5535704391915
"Med_Prob_2",NA,300.149409598475,947.587890322291
"Med_Prob_3",NA,394.725296373516,NA
"Med_Prob_4",NA,5687.88283489146,NA
"High_Prob_1",60.3650855401308,178.736174324194,126.871499903535
"High_Prob_2",666.008196548075,299.913644061749,695.389678020302
"High_Prob_3",NA,912.494537794903,NA
"High_Prob_4",NA,4329.4976355796,NA
