"","LOB","MC","ROB"
"Low_Prob_1",19.6936735602652,8.80628738226308,19.5846334900098
"Low_Prob_2",3464.01664333839,1625.36324192524,3442.39521085928
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",143.941864943106,64.7725127402008,143.171258926805
"Med_Prob_2",2538.8566763982,1182.23571580513,2524.68254570393
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",346.19491557769,156.672425117885,344.388239772423
"High_Prob_2",1870.58991630246,865.478732262696,1860.76699714724
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
