"","Site","Section","Channel_width_m","Max_depth_cm","depth_edge_east_cm","depth_edge_west_cm","mud_silt","sand","gravel","cobble","boulder","Temp","pH","abundance"
"1",9,1,3.85,16,1,6,0,5,"70",25,0,25.6,7.21,1
"2",11,1,9.8,36,3,5,0,10,"20",70,0,25,6.64,NA
"3",13,1,9.3,35,3,5,0,5,"75",20,0,25.1,6.8,11
"4",20,2,7.3,32.5,22,5,5,40,"20",30,5,23.9,7.7,71
"5",22,2,6.75,37,2,21,5,10,"10",75,0,26.1,7.9,59
"6",24,2,7.9,70.5,5.1,3.1,0,50,"15",30,5,28.3,7.8,111
"7",31,3,10.6,23,6,6,1,59,"40",0,0,23.3,7.7,9
"8",33,3,8.35,25,2,5,2,28,"60",10,0,24.7,7.9,15
"9",35,4,6.3,41,9,2,0,50,"50",0,0,26.9,8,19
"10",42,4,15.3,37,9.2,8,0,100,"0",0,0,20.1,8,NA
"11",44,5,10.6,27,5,6,0,95,"0",5,0,22.2,8.1,2
"12",46,5,17.3,25,5,6,0,98,"2",0,0,23.2,7.9,NA
"13",53,7,41.2,34,6,6,10,75,"15",0,0,18,7.21,NA
"14",55,7,29.5,19,4,4,5,95,"0",0,0,18.5,7.35,NA
"15",57,7,49.1,19,15,3,20,79,"1",0,0,19.4,7.43,NA
"16",64,7,34.8,31,11,6,0,97,"3",0,0,26.2,7.13,NA
"17",66,7,43.4,42,14,14,1,99,"0",0,0,21.5,7.24,NA
"18",68,7,28.9,41,3,11,15,85,"0",0,0,24.7,7,NA
"19",68,7,6.7,21,13,13,10,90,"0",0,0,24.7,7,NA
"20",74,8,9.6,28,23,11,0,100,"0",0,0,26.2,7.24,NA
"21",74,8,18.7,31,7,5,0,100,"0",0,0,26.2,7.24,NA
"22",77,8,30.7,44,9,10,15,85,"0",0,0,23.2,7.25,NA
"23",79,9,19.1,33,5,9,10,3,"87",0,0,27.1,7.31,NA
"24",79,9,17.4,26,5,15,20,73,"7",0,0,27.1,7.31,NA
"25",86,10,31.7,37,18,2.5,5,95,"0",0,0,19.9,8.1,NA
"26",86,10,6.6,12,10,2,25,65,"10",0,0,19.9,8.1,NA
"27",86,10,9.9,13,3,1,20,80,"0",0,0,19.9,8.1,NA
"28",88,10,45,38,4,5,0,100,"0",0,0,21.4,8.2,NA
"29",88,10,7,11,3,3,30,70,"0",0,0,21.4,8.2,NA
"30",90,10,61.8,33,7,9,2,98,"0",0,0,23.7,8.2,NA
"31",97,11,31.8,37,11,7,0,100,"0",0,0,22.7,8.2,NA
"32",99,11,29.3,35,5,16,0,100,"0",0,0,21.2,8.1,NA
"33",101,12,33.5,49,7,22,0,99,"<1 ",0,0,20.2,8.2,1
"34",108,12,28.4,59,12.5,7,0,100,"0",0,0,19.1,8.1,NA
"35",110,12,22.9,42,21,15,2,98,"0",0,0,21.3,8.2,NA
"36",112,13,30,45,9,5,0,100,"0",0,0,21.1,8.2,NA
"37",119,13,39.8,37,2,9,5,95,"0",0,0,25.7,8.2,NA
"38",121,13,53.5,24,7,15,0,98,"2",0,0,27.4,8.2,2
