"","bottom.velocity","july..Highway.60.","august..hwy.60...mission.","total"
"1","0.00 – 0.50 ",62.1,95.7,82.9
"2","0.51 – 1.00 ",37.9,0,14.5
"3","1.01 – 1.50 ",0,4.3,2.6
"4","1.51 – 2.00 ",0,0,0
"5","2.01 – 2.50 ",0,0,0
"6","2.51 – 3.00 ",0,0,0
"7","abundance",29,47,76
