"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",0,0,0,"SAS","Adult","Depth","F45B"
"2",27365.45703125,27365.45703125,27365.45703125,"SAS","Adult","Depth","F45B"
"3",NA,NA,NA,"SAS","Adult","Depth","F45B"
"4",NA,NA,NA,"SAS","Adult","Depth","F45B"
"5",NA,316.39027893831,NA,"SAS","Adult","Depth","F45B"
"6",NA,567.493880044831,NA,"SAS","Adult","Depth","F45B"
"7",NA,NA,NA,"SAS","Adult","Depth","F45B"
"8",NA,NA,NA,"SAS","Adult","Depth","F45B"
"9",NA,376.408677613607,NA,"SAS","Adult","Depth","F45B"
"10",NA,532.367399667905,NA,"SAS","Adult","Depth","F45B"
"11",NA,NA,NA,"SAS","Adult","Depth","F45B"
"12",NA,NA,NA,"SAS","Adult","Depth","F45B"
