"","LOB","MC","ROB"
"Low_Prob_1",46.5073356628418,46.5073356628418,46.5073356628418
"Low_Prob_2",42906.5234375,42906.5234375,42906.5234375
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",389.619383613908,124.613048934444,385.944717330532
"Med_Prob_2",2374.38829719777,986.899245061447,2356.57319662603
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",645.375550631536,217.90095468466,639.578985971778
"High_Prob_2",1932.64912511764,771.414219622502,1917.64224290355
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
