"","Velocity","Abundance","Dataset"
"1","0",12,"Saiki"
"2","0.02",3,"Saiki"
"3","0.03",4,"Saiki"
"4","0.04",8,"Saiki"
"5","0.05",7,"Saiki"
"6","0.06",3,"Saiki"
"7","0.07",6,"Saiki"
"8","0.08",6,"Saiki"
"9","0.09",6,"Saiki"
"10","0.11",5,"Saiki"
"11","0.12",12,"Saiki"
"12","0.13",8,"Saiki"
"13","0.14",9,"Saiki"
"14","0.15",3,"Saiki"
"15","0.16",4,"Saiki"
"16","0.17",5,"Saiki"
"17","0.18",7,"Saiki"
"18","0.19",6,"Saiki"
"19","0.21",8,"Saiki"
"20","0.22",3,"Saiki"
"21","0.23",4,"Saiki"
"22","0.24",7,"Saiki"
"23","0.25",4,"Saiki"
"24","0.26",4,"Saiki"
"25","0.27",2,"Saiki"
"26","0.28",6,"Saiki"
"27","0.29",3,"Saiki"
"28","0.31",6,"Saiki"
"29","0.32",10,"Saiki"
"30","0.33",8,"Saiki"
"31","0.34",5,"Saiki"
"32","0.35",10,"Saiki"
"33","0.36",10,"Saiki"
"34","0.37",3,"Saiki"
"35","0.38",10,"Saiki"
"36","0.39",3,"Saiki"
"37","0.4",3,"Saiki"
"38","0.41",1,"Saiki"
"39","0.42",6,"Saiki"
"40","0.43",6,"Saiki"
"41","0.44",4,"Saiki"
"42","0.45",8,"Saiki"
"43","0.46",4,"Saiki"
"44","0.47",3,"Saiki"
"45","0.48",2,"Saiki"
"46","0.49",4,"Saiki"
"47","0.51",3,"Saiki"
"48","0.52",2,"Saiki"
"49","0.53",4,"Saiki"
"50","0.54",5,"Saiki"
"51","0.55",4,"Saiki"
"52","0.56",2,"Saiki"
"53","0.57",2,"Saiki"
"54","0.58",1,"Saiki"
"55","0.59",4,"Saiki"
"56","0.6",1,"Saiki"
"57","0.62",1,"Saiki"
"58","0.63",5,"Saiki"
"59","0.64",6,"Saiki"
"60","0.65",3,"Saiki"
"61","0.66",3,"Saiki"
"62","0.67",3,"Saiki"
"63","0.68",3,"Saiki"
"64","0.69",3,"Saiki"
"65","0.71",1,"Saiki"
"66","0.73",1,"Saiki"
"67","0.74",2,"Saiki"
"68","0.75",3,"Saiki"
"69","0.8",1,"Saiki"
"70","0.9",1,"Saiki"
"71","0.91",1,"Saiki"
"72","0.94",1,"Saiki"
"73","0.95",1,"Saiki"
"74","0.96",1,"Saiki"
"75","1.02",1,"Saiki"
"76","1.06",1,"Saiki"
"77","1.08",1,"Saiki"
"78","1.16",1,"Saiki"
"79","1.18",1,"Saiki"
"80","1.2",1,"Saiki"
"81","1.24",1,"Saiki"
"82","1.73",1,"Saiki"
"1100","0.49",96,"Thompson"
"262","0.64",71,"Thompson"
"310","0.48",221,"Thompson"
"410","0.23",121,"Thompson"
"510","0.17",1,"Thompson"
"610","0.24",1,"Thompson"
"710","0.16",116,"Thompson"
"810","0.11",102,"Thompson"
"1010","0.52",110,"Thompson"
"1310","0.53",226,"Thompson"
"1410","0.48",22,"Thompson"
"1510","0.51",42,"Thompson"
"1101","0.24",1,"Wulff"
"263",NA,3,"Wulff"
"311","0.42",1,"Wulff"
"411","0.32",1,"Wulff"
"511","0.47",1,"Wulff"
"611","0.59",1,"Wulff"
"711","0.55",1,"Wulff"
"811","0.27",1,"Wulff"
"910","0.65",1,"Wulff"
"1011","0.38",1,"Wulff"
"1110","0.31",1,"Wulff"
"1210",NA,1,"Wulff"
"1311",NA,2,"Wulff"
"1411",NA,2,"Wulff"
"1511",NA,1,"Wulff"
"1610","0.65",2,"Wulff"
"1710","0.35",1,"Wulff"
"1810","0.19",5,"Wulff"
"1910","0.52",2,"Wulff"
"2010","0.35",2,"Wulff"
"2110","0.35",1,"Wulff"
"2210","0.52",1,"Wulff"
"2310","0.55",1,"Wulff"
"2410",NA,1,"Wulff"
"2510","0.37",8,"Wulff"
"264","0.55",1,"Wulff"
"271","0.44",3,"Wulff"
"281","0.6",1,"Wulff"
"291","0.6",3,"Wulff"
"301","0.18",1,"Wulff"
"312",NA,1,"Wulff"
"321",NA,1,"Wulff"
"331",NA,2,"Wulff"
"341",NA,1,"Wulff"
"351",NA,1,"Wulff"
"361",NA,1,"Wulff"
"371",NA,10,"Wulff"
"381",NA,1,"Wulff"
"391","0.63",3,"Wulff"
"401","0.66",3,"Wulff"
"412",NA,5,"Wulff"
"421","0.57",5,"Wulff"
"431",NA,5,"Wulff"
"441",NA,4,"Wulff"
"451",NA,1,"Wulff"
"461","0.96",1,"Wulff"
"471",NA,2,"Wulff"
"481",NA,4,"Wulff"
"491",NA,3,"Wulff"
"501",NA,1,"Wulff"
"512","0.71",20,"Wulff"
"521","0.71",1,"Wulff"
"531","0.54",1,"Wulff"
"541","0.54",2,"Wulff"
"551","0.54",8,"Wulff"
"561",NA,2,"Wulff"
"571",NA,3,"Wulff"
"581","0.94",3,"Wulff"
"591","0.94",3,"Wulff"
"601","0.94",3,"Wulff"
"612",NA,2,"Wulff"
"621","0.36",1,"Wulff"
"631",NA,1,"Wulff"
"641",NA,3,"Wulff"
"651",NA,5,"Wulff"
"661","0.8",5,"Wulff"
"671",NA,5,"Wulff"
"681",NA,5,"Wulff"
"691","0.8",5,"Wulff"
"701","0.8",5,"Wulff"
"712","0.65",5,"Wulff"
"721","0.62",3,"Wulff"
"731","0.49",3,"Wulff"
"741",NA,3,"Wulff"
"751","0.38",1,"Wulff"
"761","0.46",1,"Wulff"
"771","0.53",1,"Wulff"
"781",NA,1,"Wulff"
"791",NA,1,"Wulff"
"801",NA,2,"Wulff"
"812",NA,4,"Wulff"
"821","1.02",1,"Wulff"
"83",NA,5,"Wulff"
"84",NA,5,"Wulff"
"85",NA,6,"Wulff"
"86",NA,4,"Wulff"
"87",NA,2,"Wulff"
"88","1.06",4,"Wulff"
"89",NA,10,"Wulff"
"90",NA,10,"Wulff"
"91","0.42",3,"Wulff"
"92","0.42",2,"Wulff"
"93","0.62",5,"Wulff"
"94","0.62",5,"Wulff"
"95",NA,10,"Wulff"
"96",NA,10,"Wulff"
"97",NA,5,"Wulff"
"98",NA,3,"Wulff"
"99","1.24",1,"Wulff"
"100","1.24",7,"Wulff"
"101",NA,1,"Wulff"
"102","0.54",2,"Wulff"
"103","0.43",2,"Wulff"
"104","0.43",3,"Wulff"
"105","0.47",5,"Wulff"
"106","0.67",5,"Wulff"
"107","0.67",5,"Wulff"
"108","0.63",5,"Wulff"
"109",NA,5,"Wulff"
"110","0.8",2,"Wulff"
"111","0.8",3,"Wulff"
"112",NA,5,"Wulff"
"113",NA,5,"Wulff"
"114","0.75",5,"Wulff"
"115","0.75",5,"Wulff"
"116","0.4",5,"Wulff"
"117","0.4",5,"Wulff"
"118","0.65",5,"Wulff"
"119","0.65",5,"Wulff"
"120","0.48",1,"Wulff"
"121","0.37",5,"Wulff"
"122","0.37",5,"Wulff"
"123",NA,10,"Wulff"
"124",NA,10,"Wulff"
"125","0.62",10,"Wulff"
"126","0.62",10,"Wulff"
"127",NA,5,"Wulff"
"128",NA,5,"Wulff"
"129",NA,5,"Wulff"
"130",NA,5,"Wulff"
"131","0.91",10,"Wulff"
"132",NA,5,"Wulff"
"133","0.15",5,"Wulff"
"134",NA,5,"Wulff"
"135",NA,5,"Wulff"
"136",NA,5,"Wulff"
"137","0.59",5,"Wulff"
"138","0.33",5,"Wulff"
"139","0.73",5,"Wulff"
"140","0.66",5,"Wulff"
"141","0.62",1,"Wulff"
"142","0.56",5,"Wulff"
"143","0.56",2,"Wulff"
"144",NA,1,"Wulff"
"145","0.74",5,"Wulff"
"146","0.53",4,"Wulff"
"147","0.67",3,"Wulff"
"148","1.16",5,"Wulff"
"149","0.9",1,"Wulff"
"150","0.9",4,"Wulff"
"151",NA,1,"Wulff"
"152",NA,5,"Wulff"
"153",NA,1,"Wulff"
"154",NA,4,"Wulff"
"155","0.65",2,"Wulff"
"156","0.65",1,"Wulff"
"157",NA,1,"Wulff"
"158",NA,5,"Wulff"
"159",NA,3,"Wulff"
"160",NA,4,"Wulff"
"161",NA,2,"Wulff"
"162",NA,5,"Wulff"
"163",NA,5,"Wulff"
"164","0.37",10,"Wulff"
"165","0.37",10,"Wulff"
"166",NA,10,"Wulff"
"167",NA,2,"Wulff"
"168",NA,5,"Wulff"
"169",NA,5,"Wulff"
"170",NA,5,"Wulff"
"171",NA,5,"Wulff"
"172",NA,5,"Wulff"
"173",NA,5,"Wulff"
"174",NA,1,"Wulff"
"175","0.56",5,"Wulff"
"176","0.75",5,"Wulff"
"177",NA,1,"Wulff"
"178","0.65",5,"Wulff"
"179","0.65",5,"Wulff"
"180","0.96",5,"Wulff"
"181","0.96",5,"Wulff"
"182","0.33",1,"Wulff"
"183","0.33",2,"Wulff"
"184","0.33",5,"Wulff"
"185","0.52",10,"Wulff"
"186","0.48",5,"Wulff"
"187","0.48",5,"Wulff"
"188","0.36",3,"Wulff"
"189","0.36",5,"Wulff"
"190","0.66",3,"Wulff"
"191","0.66",2,"Wulff"
"192","0.4",5,"Wulff"
"193","0.4",5,"Wulff"
"194","0.26",3,"Wulff"
"195","0.26",5,"Wulff"
"196","0.59",5,"Wulff"
"197","0.59",2,"Wulff"
"198","0.59",3,"Wulff"
"199","0.55",5,"Wulff"
"200","0.55",5,"Wulff"
"201","0.56",3,"Wulff"
"202",NA,5,"Wulff"
"203",NA,5,"Wulff"
"204","0.62",5,"Wulff"
"205","0.62",5,"Wulff"
"206","0.62",2,"Wulff"
"207","0.62",3,"Wulff"
"208","0.62",5,"Wulff"
"209","0.74",3,"Wulff"
"210","0.74",3,"Wulff"
"211","0.56",3,"Wulff"
"212","0.56",3,"Wulff"
"213",NA,4,"Wulff"
"214","0.51",5,"Wulff"
"215","0.63",1,"Wulff"
"216","0.58",3,"Wulff"
"217","0.67",1,"Wulff"
"218","0.9",2,"Wulff"
"219","0.73",3,"Wulff"
"220","0.63",2,"Wulff"
"221","0.25",2,"Wulff"
"222",NA,1,"Wulff"
"223","0.8",1,"Wulff"
"224","0.8",1,"Wulff"
"225",NA,1,"Wulff"
"226",NA,1,"Wulff"
"227",NA,1,"Wulff"
"228",NA,1,"Wulff"
"229","1.16",2,"Wulff"
"230","0.71",1,"Wulff"
"231","0.34",1,"Wulff"
"232",NA,2,"Wulff"
"233",NA,2,"Wulff"
"234",NA,1,"Wulff"
"235","0.9",1,"Wulff"
"236","1.08",1,"Wulff"
"237",NA,1,"Wulff"
"238","0.57",1,"Wulff"
"239","0.67",1,"Wulff"
"240",NA,1,"Wulff"
"241",NA,1,"Wulff"
"242",NA,1,"Wulff"
"243","0.66",1,"Wulff"
"244",NA,1,"Wulff"
"245",NA,1,"Wulff"
"246","0.9",1,"Wulff"
"247",NA,2,"Wulff"
"248",NA,1,"Wulff"
"249","0.43",1,"Wulff"
"250","1.16",1,"Wulff"
"251",NA,3,"Wulff"
"252",NA,2,"Wulff"
"253",NA,1,"Wulff"
"254","1.08",2,"Wulff"
"255",NA,3,"Wulff"
"256",NA,1,"Wulff"
"257","0.96",1,"Wulff"
"258","1.08",1,"Wulff"
"259","1.08",1,"Wulff"
"260","0.94",1,"Wulff"
"261",NA,4,"Wulff"
