"","bottom.velocity","july..Highway.60.","august..hwy.60...mission.","total"
"1","0.00 – 0.50 ",55.9,96.3,84.3
"2","0.51 – 1.00 ",44.1,3.7,13
"3","1.01 – 1.50 ",0,0,0
"4","1.51 – 2.00 ",0,0,0
"5","2.01 – 2.50 ",0,0,0
"6","2.51 – 3.00 ",0,0,0
"7","abundance",34,81,115
