"","Date","Condition","Site","Time","Replicate..","Fish..","SL..mm.","TL..mm.","Weight..g.","Sex","Life.Stage","Spawning..Y.N.","Temp...C.","Depth..m.","Current..m.sec."
"1","8-Mar-99","OK","MWDA",1001,1,4,80,120,13,"NB","0+ adult","N",18.33,0.3,0.4831588
"2","8-Mar-99","PH","MWDA",1103,2,5,61,74,6,"NB","0+ adult","N",19.82,0.3,0.282956
"3","8-Mar-99","OK","MWDA",1111,2,6,88,101,13,"NB","1+ adult","N",19.93,0.17,0.2497328
"4","8-Mar-99","OK","MWDA",1115,2,7,75,90,8,"NB","0+ adult","N",19.93,0.31,0.6926072
"5","8-Mar-99","OK","MWDA",1116,2,8,63,78,4,"NB","0+ adult","N",19.93,0.37,0.67056
"6","8-Mar-99","OK","MWDA",1118,2,9,73,89,8,"NB","0+ adult","N",19.93,0.17,0.5823712
"7","8-Mar-99","OK","MWDA",1126,2,10,72,85,10,"NB","0+ adult","N",19.96,0.17,0.2718816
"8","8-Mar-99","OK","MWDA",1300,3,11,90,108,15,"BT","1+ adult","Y",21.45,0.34,0.505206
"9","8-Mar-99","OK","MWDA",1300,3,12,69,80,6.5,"NB","0+ adult","N",21.45,0.15,0.2940304
"10","8-Mar-99","OK","MWDA",1327,3,13,70,83,7,"NB","0+ adult","N",22.27,0.2,0.3604768
"11","8-Mar-99","PH","MWDA",1335,3,14,60,71,3.5,"NB","0+ adult","N",22.2,0.17,0.4721352
"12","8-Mar-99","OK","MWDA",1337,3,15,77,89,6.5,"NB","0+ adult","N",22.2,0.17,0.3272536
"13","8-Mar-99","OK","MWDA",1555,5,16,88,115,14.5,"NB","1+ adult","N",20.53,0.2,0.1611376
"14","8-Mar-99","OK","MWDA",1558,5,17,79,93,10,"NB","0+ adult","N",20.6,0.39,0.4611116
"15","8-Mar-99","OK","MWDA",1605,5,18,64,76,5,"NB","0+ adult","N",20.6,0.28,0.3826256
"16","8-Mar-99","OK","MWDA",1610,5,19,115,135,30,"BT","1+ adult","Y",20.7,0.29,0.4941824
"17","8-Mar-99","OK","MWDA",940,1,1,69,84,8,"NB","0+ adult","N",17.63,0.21,0.4831588
"18","8-Mar-99","OK","MWDA",950,1,2,78,91,9,"NB","0+ adult","N",17.93,0.18,0.3161792
"19","8-Mar-99","OK","MWDA",950,1,3,69,85,7.5,"NB","0+ adult","N",17.93,0.37,0.3051048
"20","12-Dec-98","OK","MWDA",1035,2,1,46,55,2,"NB","0+ adult","N",15.34,0.17,0.338328
"21","12-Dec-98","OK","MWDA",1035,2,2,51,63,2.75,"NB","0+ adult","N",15.68,0.25,0.6595364
"22","12-Dec-98","OK","MWDA",1035,2,3,74,91,7.75,"NB","0+ adult","N",15.68,0.22,0.3715512
"23","12-Dec-98","OK","MWDA",1052,2,4,79,93,8.3,"NB","0+ adult","N",15.67,0.28,0.3826256
"24","12-Dec-98","OK","MWDA",1052,2,5,72,85,6.8,"NB","0+ adult","N",15.67,0.3,0.505206
"25","12-Dec-98","OK","MWDA",1105,2,6,73,87,7.2,"NB","0+ adult","N",16.09,0.2,0.5272532
"26","12-Dec-98","OK","MWDA",1158,3,7,55,68,3.6,"NB","0+ adult","N",17.77,0.33,0.6044184
"27","12-Dec-98","OK","MWDA",1158,3,8,58,72,4.2,"NB","0+ adult","N",17.76,0.21,0.2386584
"28","12-Dec-98","OK","MWDA",1305,3,9,63,74,4.3,"NB","0+ adult","N",17.67,0.36,0.6485128
"29","12-Dec-98","OK","MWDA",1310,3,10,52,64,2.8,"NB","0+ adult","N",17.68,0.23,0.4379976
"30","12-Dec-98","OK","MWDA",1310,3,11,44,55,1.6,"NB","0+ adult","N",17.68,0.3,0.4941824
"31","12-Dec-98","OK","MWDA",1319,4,12,54,67,3.2,"NB","0+ adult","N",17.73,0.22,0.3494024
"32","12-Dec-98","OK","MWDA",1319,4,13,68,82,5.3,"NB","0+ adult","N",17.73,0.13,0.338328
"33","12-Dec-98","OK","MWDA",1319,4,14,41,50,1.4,"NB","0+ adult","N",17.73,0.19,0.4158488
"34","12-Dec-98","OK","MWDA",1321,4,15,74,87,6.6,"NB","0+ adult","N",17.72,0.18,0.3494024
"35","12-Dec-98","OK","MWDA",1321,4,16,64,78,5.4,"NB","0+ adult","N",17.72,0.62,0.67056
"36","12-Dec-98","OK","MWDA",1410,4,17,78,94,10,"NB","0+ adult","N",17.75,0.19,0.3494024
"37","12-Dec-98","OK","MWDA",1410,4,18,48,59,2.1,"NB","0+ adult","N",17.75,0.14,0.1389888
"38","12-Dec-98","OK","MWDA",1410,4,19,54,64,2.9,"NB","0+ adult","N",17.75,NA,NA
"39","12-Dec-98","OK","MWDA",1414,4,20,69,83,6.5,"NB","0+ adult","N",17.74,0.16,0.4379976
"40","12-Dec-98","OK","MWDA",1424,5,21,78,92,9.9,"NB","0+ adult","N",17.78,0.17,0.4047744
"41","12-Dec-98","OK","MWDA",1424,5,22,49,61,3.1,"NB","0+ adult","N",17.78,0.22,0.3272536
"42","12-Dec-98","OK","MWDA",1454,5,23,69,87,7.7,"NB","0+ adult","N",19.4,0.22,0.4611116
"43","12-Dec-98","OK","MWDA",1454,5,24,69,84,5.9,"NB","0+ adult","N",19.4,0.24,0.450088
