"","Depth","july..Highway.60.","august..hwy.60...mission.","total"
"1","0-5 ",0,0,0
"2","10-Jun",0,0,0
"3","15-Nov",11.8,6.2,7.8
"4","16-20 ",0,3.7,2.6
"5","21-25 ",0,9.9,7
"6","26-30 ",2.9,9.9,7.8
"7","31-35 ",14.7,7.4,9.6
"8","36-40 ",23.5,7.4,12.2
"9","41-45 ",0,4.9,3.5
"10","46-50 ",0,3.7,2.6
"11","51-55 ",38.2,0,10.4
"12","56-60 ",8.8,0,2.6
"13","61-65 ",0,46.9,33
"14","66-70 ",0,0,0
"15","abundance",34,81,115
