"","LOB","MC","ROB"
"Low_Prob_1",3.6387849800801,0.128087797385832,3.6387849800801
"Low_Prob_2",602.541891180903,112.125827739043,602.541891180903
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",26.3964921885925,1.0268468574081,26.3964921885925
"Med_Prob_2",446.315911833189,60.4080489341343,446.315911833189
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",63.0596236489121,2.72887736704299,63.0596236489121
"High_Prob_2",331.666724682536,28.281376015669,331.666724682536
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
