"","LOB","MC","ROB"
"Low_Prob_1",10.818034633185,258.585203116229,259.437227824168
"Low_Prob_2",100.003590820342,699.488525780017,NA
"Low_Prob_3",NA,4419.72646020745,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",13.7863695214293,132.143183123598,103.466067443135
"Med_Prob_2",100.001923033456,699.931119972099,NA
"Med_Prob_3",NA,3396.84534062124,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",17.0009250025527,47.7341239747652,41.5649392063054
"High_Prob_2",45.6856617313556,928.064828849901,NA
"High_Prob_3",84.2806125854226,2666.52278916468,NA
"High_Prob_4",100.000255246569,NA,NA
