"","site","date","sitename","lat","lon","substrate_score"
"1",NA,NA,NA,NA,NA,NA
"2","412CE0232","7/16/2015 12:00:00 AM","LAR","34.15916667","-118.4558333",0
"3","412CE0232","6/21/2016 12:00:00 AM","LAR","34.15916667","-118.4558333",0
"4","412CE0232","5/31/2017 12:00:00 AM","LAR","34.15916667","-118.4558333",1
"5","412CE0232","5/30/2018 12:00:00 AM","LAR","34.15916667","-118.4558333",0
"6","412CE0232","7/15/2019 12:00:00 AM","LAR","34.15916667","-118.4558333",0
"7","412CE0616","7/16/2015 12:00:00 AM","LAR","34.15166667","-118.4280556",0
"8","412CE0732","9/2/2015 12:00:00 AM","LAR","34.15583333","-118.3102778",0
"9","412M08597","7/16/2015 12:00:00 AM","LAR","34.15524","-118.43907",0
"10","412M08599","6/20/2018 12:00:00 AM","LAR","34.10603","-118.24339",13
"11","412M08602","9/30/2015 12:00:00 AM","LAR","33.97132","-118.16997",1
"12","412M08608","6/2/2016 12:00:00 AM","Bull Creek","34.18543","-118.49769",21
"13","412M08615","7/7/2016 12:00:00 AM","LAR","34.14393","-118.34294",0
"14","412M08627","5/17/2017 12:00:00 AM","LAR","33.86326","-118.19656",0
"15","412M08638","8/16/2017 12:00:00 AM","Arroyo Seco","34.20923","-118.1712",31
"16","412M08641","7/9/2019 12:00:00 AM","Big Tujunga Creek","34.30549","-118.06799",27
"17","412M08642","6/20/2018 12:00:00 AM","LAR","34.0472","-118.22979",0
"18","412M08643","5/23/2018 12:00:00 AM","LAR","33.80841","-118.20559",7
"19","412M08647","7/16/2019 12:00:00 AM","Big Tujunga Creek","34.27872","-118.30172",21
"20","412PS0040","7/14/2016 12:00:00 AM","Bull Creek","34.26448","-118.48787",0
"21","412PS0052","4/25/2017 12:00:00 AM","LAR","34.19528","-118.58727",0
"22","412WE0552","8/26/2015 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",33
"23","412WE0552","6/8/2016 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",30
"24","412WE0552","5/24/2017 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",26
