"","Depth","Abundance","Dataset"
"1",38,1,"Wulff"
"2",36,3,"Wulff"
"3",26,1,"Wulff"
"4",37,1,"Wulff"
"5",44,1,"Wulff"
"6",26,1,"Wulff"
"7",24,1,"Wulff"
"8",24,1,"Wulff"
"9",20,1,"Wulff"
"10",30,1,"Wulff"
"11",32,1,"Wulff"
"12",26,1,"Wulff"
"13",26,2,"Wulff"
"14",26,2,"Wulff"
"15",26,1,"Wulff"
"16",22,2,"Wulff"
"17",40,1,"Wulff"
"18",40,5,"Wulff"
"19",24,2,"Wulff"
"20",37,2,"Wulff"
"21",30,1,"Wulff"
"22",28,1,"Wulff"
"23",26,1,"Wulff"
"24",56,1,"Wulff"
"25",44,8,"Wulff"
"26",48,1,"Wulff"
"27",48,3,"Wulff"
"28",46,1,"Wulff"
"29",46,3,"Wulff"
"30",36,1,"Wulff"
"31",50,1,"Wulff"
"32",50,1,"Wulff"
"33",60,2,"Wulff"
"34",60,1,"Wulff"
"35",72,1,"Wulff"
"36",76,1,"Wulff"
"37",90,10,"Wulff"
"38",40,1,"Wulff"
"39",62,3,"Wulff"
"40",60,3,"Wulff"
"41",50,5,"Wulff"
"42",46,5,"Wulff"
"43",38,5,"Wulff"
"44",46,4,"Wulff"
"45",46,1,"Wulff"
"46",70,1,"Wulff"
"47",64,2,"Wulff"
"48",64,4,"Wulff"
"49",58,3,"Wulff"
"50",52,1,"Wulff"
"51",46,20,"Wulff"
"52",46,1,"Wulff"
"53",52,1,"Wulff"
"54",60,2,"Wulff"
"55",60,8,"Wulff"
"56",42,2,"Wulff"
"57",52,3,"Wulff"
"58",60,3,"Wulff"
"59",60,3,"Wulff"
"60",42,3,"Wulff"
"61",59,2,"Wulff"
"62",56,1,"Wulff"
"63",30,1,"Wulff"
"64",32,3,"Wulff"
"65",34,5,"Wulff"
"66",36,5,"Wulff"
"67",38,5,"Wulff"
"68",38,5,"Wulff"
"69",38,5,"Wulff"
"70",38,5,"Wulff"
"71",40,5,"Wulff"
"72",40,3,"Wulff"
"73",36,3,"Wulff"
"74",34,3,"Wulff"
"75",40,1,"Wulff"
"76",30,1,"Wulff"
"77",24,1,"Wulff"
"78",32,1,"Wulff"
"79",36,1,"Wulff"
"80",36,2,"Wulff"
"81",35,4,"Wulff"
"82",38,1,"Wulff"
