"","substrate..","all_sites","total"
"1","silt",0,0
"2","silt_sand",0,0
"3","sand",21.2,0
"4","sand_gravel",41.2,14.5
"5","gravel",31.8,53.9
"6","sand_cobble",0,0
"7","gravel_cobble",0,31.6
"8","cobble",0,0
"9","boulder",5.9,0
"10","abundance",85,76
