"","substrate..","july..Highway.60.","august..hwy.60...mission.","total"
"1","silt",0,0,0
"2","silt_sand",0,0,0
"3","sand",0,6.4,0
"4","sand_gravel",27.6,87.2,14.5
"5","gravel",0,0,53.9
"6","sand_cobble",0,0,0
"7","gravel_cobble",72.4,6.4,31.6
"8","cobble",0,0,0
"9","boulder",0,0,0
"10","abundance",29,47,76
