"","bottom.velocity","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab"
"1","0.00 – 0.50 ",55.9,96.3,68,19,78
"2","0.51 – 1.00 ",44.1,3.7,11,15,3
"3","1.01 – 1.50 ",0,0,0,0,0
"4","1.51 – 2.00 ",0,0,0,0,0
"5","2.01 – 2.50 ",0,0,0,0,0
"6","2.51 – 3.00 ",0,0,0,0,0
"7","abundance",34,81,93,12,66
