"","Location","Section","Starting.Latitude","Starting.Longitude","Ending.Latitude","Ending.Longitude","Date","Species","Count","Velocity_at_fish_ms","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","coord_code_s","site_code"
"1","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.3,0.59,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"2","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.35,0.33,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"7","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.09,0.73,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"9","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.38,0.66,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"10","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,0.43,0.62,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"11","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.18,0.56,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"12","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",2,0.18,0.56,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"15","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,0.33,0.72,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"16","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.39,0.74,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"17","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",4,0.35,0.53,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"18","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",3,0.18,0.67,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"20","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.43,1.16,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"21","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,0.59,0.9,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"22","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",4,0.59,0.9,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"23","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,0.38,1.01,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"24","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.33,0.84,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"27","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,0.5,1.07,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"28","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",4,0.5,1.07,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"29","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",2,0.4,0.65,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"30","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,0.4,0.65,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"31","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",1,0.4,0.92,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"32","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",5,0.19,0.88,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"34","Crossover Channel",4,34.03299,-117.3561,34.03493,-117.35665,"9/20/2016","Santa Ana Sucker",3,0.38,0.87,NA,NA,"34.03299_-117.3561","Crossover Channel_4"
"35","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",4,0.68,0.133,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"36","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",2,0.47,0.78,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"38","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.36,0.98,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"39","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.36,0.98,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"40","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",10,0.18,0.37,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"41","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",10,0.18,0.37,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"43","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",10,0.39,0.76,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"46","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",2,0.65,1.21,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"47","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.65,1.21,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"48","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.65,1.21,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"50","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.27,NA,0.47,0.6,"34.03493_-117.35665","Crossover Channel_4"
"51","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.27,NA,0.47,0.6,"34.03493_-117.35665","Crossover Channel_4"
"54","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.71,1.29,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
