Velocity,Site,Dataset
0.48,MWDA,Saiki
0.28,MWDA,Saiki
0.25,MWDA,Saiki
0.69,MWDA,Saiki
0.67,MWDA,Saiki
0.58,MWDA,Saiki
0.27,MWDA,Saiki
0.29,MWDA,Saiki
0.36,MWDA,Saiki
0.47,MWDA,Saiki
0.33,MWDA,Saiki
0.16,MWDA,Saiki
0.46,MWDA,Saiki
0.38,MWDA,Saiki
0.48,MWDA,Saiki
0.32,MWDA,Saiki
0.31,MWDA,Saiki
0.34,MWDA,Saiki
0.66,MWDA,Saiki
0.37,MWDA,Saiki
0.38,MWDA,Saiki
0.51,MWDA,Saiki
0.53,MWDA,Saiki
0.6,MWDA,Saiki
0.24,MWDA,Saiki
0.65,MWDA,Saiki
0.44,MWDA,Saiki
0.49,MWDA,Saiki
0.35,MWDA,Saiki
0.34,MWDA,Saiki
0.42,MWDA,Saiki
0.35,MWDA,Saiki
0.67,MWDA,Saiki
0.35,MWDA,Saiki
0.14,MWDA,Saiki
0.44,MWDA,Saiki
0.4,MWDA,Saiki
0.33,MWDA,Saiki
0.46,MWDA,Saiki
0.45,MWDA,Saiki
0.59,MWDA,Saiki
0.36,MWDA,Saiki
0.75,MWDA,Saiki
0.59,MWDA,Saiki
0.39,MWDA,Saiki
0.22,MWDA,Saiki
0.31,MWDA,Saiki
0.42,MWDA,Saiki
0.33,MWDA,Saiki
0.15,MWDA,Saiki
0.09,MWDA,Saiki
0.37,MWDA,Saiki
0.52,MWDA,Saiki
0.13,MWDA,Saiki
0.39,MWDA,Saiki
0.22,MWDA,Saiki
0.45,MWDA,Saiki
0.64,MWDA,Saiki
0.43,MWDA,Saiki
0.57,MWDA,Saiki
0.54,MWDA,Saiki
0.59,MWDA,Saiki
0.49,MWDA,Saiki
0.49,MWDA,Saiki
0.38,MWDA,Saiki
0.49,MWDA,Saiki
0.43,MWDA,Saiki
0.18,MWDA,Saiki
0.64,MWDA,Saiki
0.36,MWDA,Saiki
0.23,MWDA,Saiki
0.31,MWDA,Saiki
0.57,MWDA,Saiki
0.51,MWDA,Saiki
0.36,MWDA,Saiki
0.32,MWDA,Saiki
0.47,MWDA,Saiki
0.53,MWDA,Saiki
0.55,MWDA,Saiki
0.09,MWDA,Saiki
0.4,MWDA,Saiki
0.31,MWDA,Saiki
0.54,MWDA,Saiki
0.36,MWDA,Saiki
0.32,MWDA,Saiki
0.54,MWDA,Saiki
0.42,MWDA,Saiki
0.32,MWDA,Saiki
0.38,MWDA,Saiki
0.46,MWDA,Saiki
0.66,MWDA,Saiki
0.43,MWDA,Saiki
0.26,MWDA,Saiki
0.35,MWDA,Saiki
0.25,MWDA,Saiki
0.34,MWDA,Saiki
0.18,MWDA,Saiki
0.63,MWDA,Saiki
0.56,MWDA,Saiki
0.12,MWDA,Saiki
0.64,MWDA,Saiki
0.32,MWDA,Saiki
0.35,MWDA,Saiki
0.45,MWDA,Saiki
0.33,MWDA,Saiki
0.44,MWDA,Saiki
0.46,MWDA,Saiki
0.09,MWDB,Saiki
0.35,MWDB,Saiki
0.12,MWD8,Saiki
0.74,MWDB,Saiki
0.75,MWDB,Saiki
0.32,MWDB,Saiki
0.12,MWDB,Saiki
0.29,MWDB,Saiki
0.42,MWDB,Saiki
0.35,MWDB,Saiki
0.17,MWDB,Saiki
0.95,MWDB,Saiki
0.9,MWDB,Saiki
0.64,MWDB,Saiki
0.45,MWDB,Saiki
0.24,MWDB,Saiki
0.32,MWDB,Saiki
0.51,MWDB,Saiki
0.26,MWDB,Saiki
0.96,MWDB,Saiki
0.32,MWDB,Saiki
0.42,MWDB,Saiki
0,MWDB,Saiki
0,MWDB,Saiki
0,MWDB,Saiki
0.04,MWDB,Saiki
0.31,MWDB,Saiki
0.09,MWDB,Saiki
0.28,MWDB,Saiki
0.04,MWDB,Saiki
0.14,MWDB,Saiki
0.73,MWDB,Saiki
0.35,MWDB,Saiki
0.42,MWDB,Saiki
0.33,MWDB,Saiki
0.22,MWDB,Saiki
0.28,MWDB,Saiki
0.36,MWDB,Saiki
0.09,MWDB,Saiki
0.08,MWDB,Saiki
0.26,MWDB,Saiki
0.23,MWDB,Saiki
0.54,MWDB,Saiki
0.53,MWDB,Saiki
0.43,MWDB,Saiki
0.05,MWDB,Saiki
0.54,MWDB,Saiki
0.06,MWDB,Saiki
0.04,MWDB,Saiki
0.04,MWDB,Saiki
0.08,MWDB,Saiki
0.18,MWDB,Saiki
0.71,MWDB,Saiki
1.08,MWDB,Saiki
0.11,MWDB,Saiki
0.43,MWDB,Saiki
0.31,MWDB,Saiki
0.13,MWDB,Saiki
0.14,MWDB,Saiki
0.38,MWDB,Saiki
0.33,MWDB,Saiki
0.37,SGRA,Saiki
0.14,SGRA,Saiki
0.13,SGRA,Saiki
0.11,SGRA,Saiki
0.25,SGRA,Saiki
0.24,SGRA,Saiki
0.02,SGRA,Saiki
0.63,SGRA,Saiki
0.04,SGRA,Saiki
0.05,SGRA,Saiki
0.04,SGRA,Saiki
0.21,SGRA,Saiki
0.03,SGRA,Saiki
0.63,SGRA,Saiki
0,SGRA,Saiki
0.91,SGRA,Saiki
0.18,SGRA,Saiki
