"","Depth","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab","total_ab"
"1","0-5 ",0,0,0,0,0,0
"2","6-10",0,0,0,0,0,0
"3","11-15",11.8,6.2,7.8,4,5,9
"4","16-20 ",0,3.7,2.6,0,3,3
"5","21-25 ",0,9.9,7,0,8,8
"6","26-30 ",2.9,9.9,7.8,1,8,9
"7","31-35 ",14.7,7.4,9.6,5,6,11
"8","36-40 ",23.5,7.4,12.2,8,6,14
"9","41-45 ",0,4.9,3.5,0,4,4
"10","46-50 ",0,3.7,2.6,0,3,3
"11","51-55 ",38.2,0,10.4,13,0,12
"12","56-60 ",8.8,0,2.6,3,0,3
"13","61-65 ",0,46.9,33,0,38,38
"14","66-70 ",0,0,0,0,0,0
"15","abundance",34,81,115,12,66,132
