"","Section","Segment","Reach","Date","Latitude","Longitude","Species","Number","Velocity_at_fish_ms","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","coord_code"
"1","Rialto Drain","1","1","7/22/15","34.04794","-117.35625","Santa Ana Sucker","1",0.16,0.24,NA,NA,"34.04794_-117.35625"
"25","Rialto Drain","1","2","7/22/15","34.04683","-117.35528","Santa Ana Sucker","3",0.58,0.82,NA,NA,"34.04683_-117.35528"
"26","Rialto Drain","1","2","7/22/15","34.04683","-117.35528","Santa Ana Sucker","1",0.24,0.42,NA,NA,"34.04683_-117.35528"
"29","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.21,0.32,NA,NA,"34.04683_-117.35528"
"30","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.15,0.47,NA,NA,"34.04683_-117.35528"
"31","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.46,0.59,NA,NA,"34.04683_-117.35528"
"32","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.42,0.55,NA,NA,"34.04683_-117.35528"
"33","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.32,0.27,NA,NA,"34.04683_-117.35528"
"34","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.26,0.65,NA,NA,"34.04683_-117.35528"
"35","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.13,0.38,NA,NA,"34.04683_-117.35528"
"36","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.09,0.31,NA,NA,"34.04683_-117.35528"
"37","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.18,0.5,NA,NA,"34.04683_-117.35528"
"38","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",0.11,0.5,NA,NA,"34.04683_-117.35528"
"39","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",0.11,0.5,NA,NA,"34.04683_-117.35528"
"40","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.11,0.5,NA,NA,"34.04683_-117.35528"
"41","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",0.55,0.65,NA,NA,"34.04683_-117.35528"
"42","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","1",0.28,0.35,NA,NA,"34.04683_-117.35528"
"43","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","5",0.05,0.19,NA,NA,"34.04683_-117.35528"
"44","Rialto Drain","1","2","9/13/15","34.04683","-117.35528","Santa Ana Sucker","2",0.32,0.52,NA,NA,"34.04683_-117.35528"
"68","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","2",0.17,0.35,NA,NA,"34.04203_-117.354"
"69","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","1",0.15,0.35,NA,NA,"34.04203_-117.354"
"70","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","1",0.26,0.52,NA,NA,"34.04203_-117.354"
"71","SAR Confluence of Rialto Drain to RIX confluence","2","6","9/12/15","34.04203","-117.354","Santa Ana Sucker","1",0.22,0.55,NA,NA,"34.04203_-117.354"
"93","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.16,0.97,NA,NA,"34.03842_-117.35544"
"94","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","8",0.6,0.37,NA,NA,"34.03842_-117.35544"
"95","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.61,0.55,NA,NA,"34.03842_-117.35544"
"96","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","3",0.4,0.44,NA,NA,"34.03842_-117.35544"
"97","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.19,0.6,NA,NA,"34.03842_-117.35544"
"98","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","3",0.19,0.6,NA,NA,"34.03842_-117.35544"
"99","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",-0.03,0.18,NA,NA,"34.03842_-117.35544"
"100","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.76,1.31,NA,NA,"34.03842_-117.35544"
"101","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.76,1.31,NA,NA,"34.03842_-117.35544"
"102","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","2",0.32,1.11,NA,NA,"34.03842_-117.35544"
"103","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.32,1.11,NA,NA,"34.03842_-117.35544"
"104","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.9,1.41,NA,NA,"34.03842_-117.35544"
"105","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",0.36,1.13,NA,NA,"34.03842_-117.35544"
"106","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","10",-0.09,NA,0.19,-0.08,"34.03842_-117.35544"
"116","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","1",0.67,1.07,NA,NA,"34.03842_-117.35544"
